[I 2026-07-14 16:42:25,616] A new study created in RDB with name: my-study
[I 2026-07-14 16:42:45,480] Trial 0 finished with value: -0.17931404096909181 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.03922788276137101, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001606251808555416, 'reg_lambda': 4.9400838021815056e-05, 'gamma': 0.13842537275431108}. Best is trial 0 with value: -0.17931404096909181.
[I 2026-07-14 16:42:48,216] Trial 1 finished with value: -0.1942775837155931 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.0007524312784013523, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 11.00014404527039, 'reg_lambda': 1.7236739218415777e-05, 'gamma': 1.7652872897364587}. Best is trial 1 with value: -0.1942775837155931.
[I 2026-07-14 16:42:52,864] Trial 4 finished with value: -0.1744317018109248 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.39417254811385993, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 17.219678086872463, 'reg_lambda': 9.97518278464491e-06, 'gamma': 0.011650101842101699}. Best is trial 1 with value: -0.1942775837155931.
[I 2026-07-14 16:42:55,981] Trial 2 finished with value: -0.21456107087880624 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.00023366428743777534, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 5.7491996403316154e-06, 'reg_lambda': 10.359104832110232, 'gamma': 0.4418209828180335}. Best is trial 2 with value: -0.21456107087880624.
[I 2026-07-14 16:43:14,208] Trial 3 finished with value: -0.21539813737266872 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.22839836694529664, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 5.843176928157126e-05, 'reg_lambda': 1.600854329466716, 'gamma': 0.03285556659355186}. Best is trial 3 with value: -0.21539813737266872.
[I 2026-07-14 16:43:16,850] Trial 5 finished with value: -0.20444531700909183 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.499796224927802, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0003306541117931447, 'reg_lambda': 0.10758644120459658, 'gamma': 59.16192286347595}. Best is trial 3 with value: -0.21539813737266872.
[I 2026-07-14 16:43:19,128] Trial 6 finished with value: -0.21371661132836436 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 850, 'learning_rate': 0.00015664967029525306, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.013371129393780986, 'reg_lambda': 0.0004450708945855029, 'gamma': 0.00010876871436746216}. Best is trial 3 with value: -0.21539813737266872.
[I 2026-07-14 16:43:29,987] Trial 7 finished with value: -0.18300989381404062 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.01193824797449241, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 7.4744287633010755e-06, 'reg_lambda': 1.2082623162817694, 'gamma': 0.04701426627810454}. Best is trial 3 with value: -0.21539813737266872.
[I 2026-07-14 16:43:40,063] Trial 8 finished with value: -0.23910411933643497 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.4375636848985405, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.20853646671563547, 'reg_lambda': 9.748406555732114e-06, 'gamma': 0.034495525132676785}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:43:43,211] Trial 9 finished with value: -0.17568725855979112 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1800, 'learning_rate': 0.16714373395812818, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 20.32844841484227, 'reg_lambda': 0.01689666720571287, 'gamma': 0.12615714855590188}. Best is trial 8 with value: -0.23910411933643497.
[I 2026-07-14 16:43:51,563] Trial 10 finished with value: -0.20603292311204655 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.00012201107290363253, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 1.1060071796040849e-05, 'reg_lambda': 16.149493826592234, 'gamma': 0.005116563005963751}. Best is trial 8 with value: -0.23910411933643497.
