[I 2026-07-14 16:51:51,793] A new study created in RDB with name: my-study
[I 2026-07-14 16:51:58,627] Trial 2 finished with value: -0.6726503840544859 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 550, 'learning_rate': 0.0021237900057752214, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 4.035649694431585, 'reg_lambda': 2.2148229505187036, 'gamma': 0.00258386985168799}. Best is trial 2 with value: -0.6726503840544859.
[I 2026-07-14 16:52:00,432] Trial 0 finished with value: -0.7862620994864525 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.0001555539107692574, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 6.805426121092523e-05, 'reg_lambda': 0.0001745481670689322, 'gamma': 0.00017752405410489665}. Best is trial 0 with value: -0.7862620994864525.
[I 2026-07-14 16:52:14,451] Trial 1 finished with value: -0.6450394139900992 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.0029427719292352064, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.22153837968878826, 'reg_lambda': 0.020654918537530795, 'gamma': 8.029043668499977e-06}. Best is trial 0 with value: -0.7862620994864525.
[I 2026-07-14 16:52:27,538] Trial 3 finished with value: -0.7224295586135979 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.0986107043579526, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.005621115163974532, 'reg_lambda': 5.90682668937613e-06, 'gamma': 0.014605978730648684}. Best is trial 0 with value: -0.7862620994864525.
[I 2026-07-14 16:53:07,894] Trial 6 finished with value: -0.7241177911977966 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.0125900381111396, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 4.128772718466422e-05, 'reg_lambda': 0.004814021453038122, 'gamma': 5.108112379240661e-06}. Best is trial 0 with value: -0.7862620994864525.
[I 2026-07-14 16:53:27,333] Trial 4 finished with value: -0.9377036953468479 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2300, 'learning_rate': 0.3037817116408137, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0002475722925411556, 'reg_lambda': 5.028153588760236e-05, 'gamma': 0.0011508573422475863}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:53:30,904] Trial 5 finished with value: -0.647547955034219 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.013264918525450016, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00013362687674546643, 'reg_lambda': 6.498924433040173e-05, 'gamma': 0.8686579437119243}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:53:39,233] Trial 7 finished with value: -0.6495309212435405 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.005315109041432634, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.029634030091447217, 'reg_lambda': 3.0155582143233923e-06, 'gamma': 0.0003304720199931678}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:53:51,328] Trial 8 finished with value: -0.6418093579064122 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.0017757714780827973, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 2.6830788614999865, 'reg_lambda': 2.4145976979369185e-06, 'gamma': 0.021383713241794812}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:53:52,772] Trial 9 finished with value: -0.6989478850435666 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.011065211896684822, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 65.085381568149, 'reg_lambda': 2.2480024628221225, 'gamma': 0.11483566953244723}. Best is trial 4 with value: -0.9377036953468479.
[I 2026-07-14 16:53:57,547] Trial 10 finished with value: -0.7582369122537692 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.00014490010513282394, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0293151189758018, 'reg_lambda': 0.1108768605385555, 'gamma': 1.7352033667963045}. Best is trial 4 with value: -0.9377036953468479.
