[I 2026-07-14 16:55:56,109] A new study created in RDB with name: my-study
[I 2026-07-14 16:56:18,673] Trial 1 finished with value: -0.6640253609435467 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.000633025521792057, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.001756219327679546, 'reg_lambda': 1.0064899268793127e-05, 'gamma': 2.0050573550072405e-06}. Best is trial 1 with value: -0.6640253609435467.
[I 2026-07-14 16:56:21,288] Trial 0 finished with value: -0.7196728849824321 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.0006336761873734201, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 12.479566604728472, 'reg_lambda': 0.5048911165733914, 'gamma': 0.49512207584867196}. Best is trial 0 with value: -0.7196728849824321.
[I 2026-07-14 16:56:29,694] Trial 3 finished with value: -0.6330691284163467 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.004108777367436912, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.9892067570248086, 'reg_lambda': 0.0032556060751913907, 'gamma': 0.15475153469334602}. Best is trial 0 with value: -0.7196728849824321.
[I 2026-07-14 16:56:31,728] Trial 2 finished with value: -0.7082919268632004 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.12032439500448455, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 9.202025112338479e-05, 'reg_lambda': 13.328167616266834, 'gamma': 0.0018137569468092102}. Best is trial 0 with value: -0.7196728849824321.
[I 2026-07-14 16:56:53,570] Trial 4 finished with value: -0.6932998807866199 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.00032799213881112865, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.08121841147292796, 'reg_lambda': 19.888230192372454, 'gamma': 0.0015636095153091281}. Best is trial 0 with value: -0.7196728849824321.
[I 2026-07-14 16:56:56,919] Trial 5 finished with value: -0.652994840405678 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.23174338435764172, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 4.669666842299577e-05, 'reg_lambda': 1.4265975773583185e-06, 'gamma': 4.520083593250122}. Best is trial 0 with value: -0.7196728849824321.
[I 2026-07-14 16:57:15,667] Trial 6 finished with value: -0.7567289272208537 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.11182703260898945, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.010165059582999918, 'reg_lambda': 0.0014966206372006305, 'gamma': 0.12458915324735961}. Best is trial 6 with value: -0.7567289272208537.
[I 2026-07-14 16:57:28,841] Trial 7 finished with value: -0.7556342720041902 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.05853756843959451, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.1350549213546754e-05, 'reg_lambda': 0.9739783291997428, 'gamma': 0.00020857640788491}. Best is trial 6 with value: -0.7567289272208537.
[I 2026-07-14 16:57:52,955] Trial 8 finished with value: -0.6426046149281666 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.002615954880658331, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 9.603209354854295e-06, 'reg_lambda': 17.37195655661828, 'gamma': 1.6246106746445315e-05}. Best is trial 6 with value: -0.7567289272208537.
[I 2026-07-14 16:57:57,027] Trial 9 finished with value: -0.7912456063047164 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.005783206311969169, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 6.691452573285088e-05, 'reg_lambda': 0.0022426030410150903, 'gamma': 90.2143125741117}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:57:59,456] Trial 10 finished with value: -0.7009350106768576 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.0012832029661399352, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 65.57477117202653, 'reg_lambda': 0.03223236715061172, 'gamma': 0.5766474812709389}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:58:40,616] Trial 11 finished with value: -0.6518854560437071 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1700, 'learning_rate': 0.0021764629166767403, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 3.9528113505528495e-06, 'reg_lambda': 0.012327097221411903, 'gamma': 5.638643096842235e-06}. Best is trial 9 with value: -0.7912456063047164.
[I 2026-07-14 16:58:44,989] Trial 12 finished with value: -0.6493045086919345 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1500, 'learning_rate': 0.0011654741014207478, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 1.76937389429193e-05, 'reg_lambda': 0.7588546444438196, 'gamma': 0.005595566976011962}. Best is trial 9 with value: -0.7912456063047164.
