[I 2026-07-14 18:10:10,066] A new study created in RDB with name: my-study
[I 2026-07-14 18:10:25,677] Trial 1 finished with value: -1.3022713785220033 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1550, 'learning_rate': 0.28747816726083714, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.025623668037087315, 'reg_lambda': 0.0009614721704429718, 'gamma': 0.1536819126065556}. Best is trial 1 with value: -1.3022713785220033.
[I 2026-07-14 18:10:55,507] Trial 2 finished with value: -1.7117128173015226 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.11348884594538998, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0003928289179485496, 'reg_lambda': 2.4569454037083447, 'gamma': 0.0012481439291829313}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:10:58,024] Trial 0 finished with value: -1.5577986609180485 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.00031633823538960797, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.7009860618003145, 'reg_lambda': 0.00012717693265881992, 'gamma': 22.40857734401733}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:11:17,130] Trial 7 finished with value: -1.656841052122045 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.113900970291013, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 7.076852295609364e-05, 'reg_lambda': 6.028875607498119e-06, 'gamma': 0.0009565335952248105}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:11:46,783] Trial 3 finished with value: -1.5480988808492628 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2100, 'learning_rate': 0.09189713181322129, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0005945503880607329, 'reg_lambda': 2.643914968813834e-06, 'gamma': 0.1868293503935779}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:12:00,498] Trial 6 finished with value: -1.244300034076143 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.08521000852817522, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 10.64386134906548, 'reg_lambda': 0.024366740898784045, 'gamma': 0.006912087320184805}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:12:02,958] Trial 4 finished with value: -1.2113047372197487 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.12497901083704463, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0003050060825492688, 'reg_lambda': 8.113433225951912e-05, 'gamma': 0.37053020290560923}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:12:07,620] Trial 5 finished with value: -1.5709445053924433 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.00032717182661467923, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00022605758146277031, 'reg_lambda': 0.00012419538233174668, 'gamma': 0.42400068560315474}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:12:13,542] Trial 8 finished with value: -1.2271979346282145 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1350, 'learning_rate': 0.0022594384595631904, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 6.862244778657994, 'reg_lambda': 5.3810678742607576e-06, 'gamma': 0.003997945089758201}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:12:18,156] Trial 9 finished with value: -1.5552987480456628 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.00021875645314195253, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 6.796830700551629e-05, 'reg_lambda': 0.0539244827990108, 'gamma': 0.035919613822583185}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:12:56,730] Trial 10 finished with value: -1.2589297533252242 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.009422023638915837, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 6.240669250923904e-05, 'reg_lambda': 0.0007595362644730677, 'gamma': 0.2048306759658577}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:13:08,450] Trial 11 finished with value: -1.583933975302475 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.00016722669153834222, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00014166102966323217, 'reg_lambda': 2.2317491338278344, 'gamma': 0.0018586420883441952}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:13:18,021] Trial 12 finished with value: -1.5048914360024694 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1500, 'learning_rate': 0.00021066828383495, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.05026013910443776, 'reg_lambda': 39.74389818775194, 'gamma': 0.003483448988365682}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:13:32,393] Trial 13 finished with value: -1.2971969286040208 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.0337208810038335, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 0.001650772721635339, 'reg_lambda': 0.0010157083443664895, 'gamma': 0.00046942363380346805}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:13:36,793] Trial 14 finished with value: -1.5422021491881326 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2700, 'learning_rate': 0.00020458648106284387, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 12.873389225893561, 'reg_lambda': 13.224305129899728, 'gamma': 34.836642295585285}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:13:37,338] Trial 15 finished with value: -1.3455624661994252 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.4473942438467537, 'max_depth': 12, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 49.25794437161389, 'reg_lambda': 0.01048659532223383, 'gamma': 9.96320423531284e-06}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:13:49,207] Trial 16 finished with value: -1.6843799764318494 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.20519859857275846, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.07243322175817707, 'reg_lambda': 0.018278842787902323, 'gamma': 0.008284162742582096}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:14:09,477] Trial 17 finished with value: -1.330827551642736 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.009287149169073253, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 2.317100235619141e-06, 'reg_lambda': 69.03741611455723, 'gamma': 2.1480373916901364e-06}. Best is trial 2 with value: -1.7117128173015226.
[I 2026-07-14 18:14:54,862] Trial 18 finished with value: -1.5395634657046593 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.021855239113329532, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.2818861277633539e-06, 'reg_lambda': 65.87478590636879, 'gamma': 3.1105284539394624e-05}. Best is trial 2 with value: -1.7117128173015226.
