[I 2026-07-14 18:23:30,307] A new study created in RDB with name: my-study
[I 2026-07-14 18:23:47,197] Trial 1 finished with value: -0.05968432215492922 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.0011974928408024538, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0012997719774824569, 'reg_lambda': 0.007941132037684888, 'gamma': 0.0010177386808590794}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:23:50,039] Trial 0 finished with value: -0.05933654269212413 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.00042314183564278206, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 4.586264526049642, 'reg_lambda': 0.00018799589869630497, 'gamma': 59.02527420763578}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:23:53,767] Trial 4 finished with value: -0.05904482813994836 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.006540399564737996, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.027292366868731505, 'reg_lambda': 8.512737632021949, 'gamma': 0.0009425884582244541}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:23:57,288] Trial 2 finished with value: -0.05895074178129868 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 250, 'learning_rate': 0.00041796997333217866, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 3.1094668099373687e-05, 'reg_lambda': 65.48427778520647, 'gamma': 0.0035331624451186015}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:24:02,169] Trial 3 finished with value: -0.05826692581544467 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.002704484403650269, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.1756383928914517, 'reg_lambda': 0.0018293584972821977, 'gamma': 3.0093078083356843e-06}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:24:05,290] Trial 5 finished with value: -0.059257142273978027 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.0002376166613797213, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 2.67742031603365, 'reg_lambda': 0.0002099302172914996, 'gamma': 0.4220906072504153}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:24:15,101] Trial 6 finished with value: -0.058586149337511606 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.00013939650189231584, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 3.600351578927433e-05, 'reg_lambda': 14.839668290104617, 'gamma': 2.8212913542646048e-05}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:24:17,481] Trial 7 finished with value: -0.05933693312984738 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.0010918621505474203, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 28.064252345008896, 'reg_lambda': 0.13496213836551296, 'gamma': 0.012103633744125769}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:24:17,844] Trial 8 finished with value: -0.05932956884923981 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.006669916949726946, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 13.309728000299515, 'reg_lambda': 7.297607491646093, 'gamma': 0.0768862954810318}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:24:20,199] Trial 9 finished with value: -0.05708777583121777 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2300, 'learning_rate': 0.07563817682662988, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0014353258651211285, 'reg_lambda': 2.348656343614695e-06, 'gamma': 0.480564513981449}. Best is trial 1 with value: -0.05968432215492922.
[I 2026-07-14 18:24:21,159] Trial 10 finished with value: -0.061982754178710936 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.047998365662257556, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00034391612638296317, 'reg_lambda': 0.00045675173156133, 'gamma': 1.3107501047051895e-05}. Best is trial 10 with value: -0.061982754178710936.
[I 2026-07-14 18:24:24,340] Trial 11 finished with value: -0.05831103258181113 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.00747227886657557, 'max_depth': 11, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.035188682397948e-06, 'reg_lambda': 0.001308933839556721, 'gamma': 0.5464504810534832}. Best is trial 10 with value: -0.061982754178710936.
[I 2026-07-14 18:24:27,641] Trial 12 finished with value: -0.05933731544669867 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.02988999414143373, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.3873648518836811e-05, 'reg_lambda': 14.540914090163108, 'gamma': 4.498867624900577}. Best is trial 10 with value: -0.061982754178710936.
[I 2026-07-14 18:24:35,135] Trial 13 finished with value: -0.05787441083735388 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.0001947685422434697, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00020409355257670027, 'reg_lambda': 3.109195192650935, 'gamma': 8.32420191017842e-06}. Best is trial 10 with value: -0.061982754178710936.
[I 2026-07-14 18:24:36,793] Trial 14 finished with value: -0.057961377968993415 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.041157096089521526, 'max_depth': 4, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 9.22743143982381e-06, 'reg_lambda': 3.5743170968032286e-05, 'gamma': 0.5287287133798463}. Best is trial 10 with value: -0.061982754178710936.
[I 2026-07-14 18:24:37,637] Trial 15 finished with value: -0.05856510706004871 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 700, 'learning_rate': 0.021229401484110982, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 19.520106674227232, 'reg_lambda': 1.497453975089291e-06, 'gamma': 0.00017355894835738967}. Best is trial 10 with value: -0.061982754178710936.
[I 2026-07-14 18:24:39,009] Trial 16 finished with value: -0.05933591483936663 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.018458524017381638, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.01719195209022994, 'reg_lambda': 0.011898256241556732, 'gamma': 99.8865588885617}. Best is trial 10 with value: -0.061982754178710936.
[I 2026-07-14 18:24:40,286] Trial 17 finished with value: -0.059320354303057495 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.3935037514919571, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 2.0701976097996603e-06, 'reg_lambda': 0.060411362018128335, 'gamma': 27.6767876080971}. Best is trial 10 with value: -0.061982754178710936.
[I 2026-07-14 18:24:46,315] Trial 18 finished with value: -0.09922721959226447 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.2615919947068351, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 1.0073107543806866e-06, 'reg_lambda': 0.02278331712782515, 'gamma': 9.3536119156557e-05}. Best is trial 18 with value: -0.09922721959226447.
[I 2026-07-14 18:24:51,879] Trial 19 finished with value: -0.10877397762543115 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.3925232967642365, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0013595861468046204, 'reg_lambda': 0.06568015775481077, 'gamma': 4.27574243757911e-05}. Best is trial 19 with value: -0.10877397762543115.
[I 2026-07-14 18:24:56,945] Trial 20 finished with value: -0.11688844120982154 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.46777316962846616, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.001501892514632368, 'reg_lambda': 0.05575798366705977, 'gamma': 8.931848650288911e-05}. Best is trial 20 with value: -0.11688844120982154.
[I 2026-07-14 18:25:01,964] Trial 21 finished with value: -0.12165317358154566 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.46829658535530666, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.004604283567403089, 'reg_lambda': 0.01631674601522352, 'gamma': 0.00029528891910874316}. Best is trial 21 with value: -0.12165317358154566.
[I 2026-07-14 18:25:07,078] Trial 22 finished with value: -0.10078851095524895 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.20610628733326902, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0030239352347689124, 'reg_lambda': 0.07225580369096411, 'gamma': 0.00017422213271838397}. Best is trial 21 with value: -0.12165317358154566.
[I 2026-07-14 18:25:12,615] Trial 23 finished with value: -0.12217781265120557 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.4989670307937707, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0037078857276648613, 'reg_lambda': 0.044169087873517004, 'gamma': 0.00010343924154505212}. Best is trial 23 with value: -0.12217781265120557.
