[I 2026-07-14 18:31:07,096] A new study created in RDB with name: my-study
[I 2026-07-14 18:31:15,454] Trial 2 finished with value: -0.05636894931620743 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.0026633372475374493, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 4.161963861793815e-05, 'reg_lambda': 0.0001681079396023746, 'gamma': 0.0032642387847938775}. Best is trial 2 with value: -0.05636894931620743.
[I 2026-07-14 18:31:34,871] Trial 0 finished with value: -0.09672587877572887 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.015341943686717664, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.3563203580025496e-06, 'reg_lambda': 0.3519945809255323, 'gamma': 8.645586024552326e-06}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:31:36,890] Trial 1 finished with value: -0.05829929472791562 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1750, 'learning_rate': 0.00020371574956810974, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 1.2172344987729697, 'reg_lambda': 0.0190409789568366, 'gamma': 7.60230749296923}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:31:51,999] Trial 3 finished with value: -0.05668026352247 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.0010906367100915512, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0012995234629449692, 'reg_lambda': 0.001003225006063247, 'gamma': 0.00044587703574906545}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:31:55,751] Trial 6 finished with value: -0.05711484021116009 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.0007530670061738568, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 15.182730129177713, 'reg_lambda': 0.0001275860058500356, 'gamma': 6.396937363195123e-05}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:31:56,323] Trial 4 finished with value: -0.05823273221617608 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.0002905282304223939, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 14.285374384833979, 'reg_lambda': 16.284675808629046, 'gamma': 0.000571096345760893}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:31:59,178] Trial 5 finished with value: -0.05829066279083765 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.06839346008787263, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.5424639988041642, 'reg_lambda': 78.79027255768563, 'gamma': 1.687208388839968}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:32:00,916] Trial 7 finished with value: -0.05958038919830084 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.04029190241778515, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 8.295354059098035, 'reg_lambda': 0.009619462593340343, 'gamma': 4.213081053053645e-05}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:32:04,064] Trial 8 finished with value: -0.061360926646660346 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.012906577058022587, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0001493824576968216, 'reg_lambda': 5.322224820953703e-06, 'gamma': 1.3669896681732246e-06}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:32:08,687] Trial 9 finished with value: -0.07793560423733703 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.18550389956989222, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.9580650596705906e-05, 'reg_lambda': 0.018474245708230596, 'gamma': 5.2387203525707936e-05}. Best is trial 0 with value: -0.09672587877572887.
[I 2026-07-14 18:32:10,453] Trial 10 finished with value: -0.05830766088034864 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.004536105068800538, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.483650562125427e-06, 'reg_lambda': 3.111172504912251e-05, 'gamma': 2.5240266186227522}. Best is trial 0 with value: -0.09672587877572887.
