[I 2026-07-14 18:57:35,180] A new study created in RDB with name: my-study
[I 2026-07-14 18:57:40,235] Trial 1 finished with value: -0.06665338847151035 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.0008083912072936264, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.001002292085753429, 'reg_lambda': 0.0002888948067194873, 'gamma': 7.817945426211839e-06}. Best is trial 1 with value: -0.06665338847151035.
[I 2026-07-14 18:57:47,901] Trial 2 finished with value: -0.10136854051783933 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.22018721635792454, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0001599067405985218, 'reg_lambda': 0.002567724354858693, 'gamma': 2.107213065966679e-06}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:57:49,212] Trial 0 finished with value: -0.06737919540216075 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.0013677003148142716, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 40.62212479770578, 'reg_lambda': 0.0031752436054517438, 'gamma': 0.0006760965500630024}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:57:50,589] Trial 3 finished with value: -0.06669378162470313 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.01422699219839691, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.558402209872378e-05, 'reg_lambda': 5.9714328738899205e-05, 'gamma': 0.0007957952006693777}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:57:52,654] Trial 6 finished with value: -0.06738737377991777 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.0016904145717357875, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 1.7241010598300674e-06, 'reg_lambda': 0.08877752946083424, 'gamma': 14.925728646440566}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:57:53,493] Trial 4 finished with value: -0.06734365833338458 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.18877261507851356, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0001670186504792431, 'reg_lambda': 43.22242978905028, 'gamma': 6.767316658243501}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:57:58,056] Trial 5 finished with value: -0.06671779319673661 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.00021491472153469925, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.02941556479934392, 'reg_lambda': 0.13258186513648534, 'gamma': 5.3686479379062535e-05}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:58:00,302] Trial 7 finished with value: -0.06687507140843646 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0003315337448820693, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00152355985902806, 'reg_lambda': 6.429946386650535e-06, 'gamma': 0.005426979735092004}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:58:01,507] Trial 8 finished with value: -0.06707778241898346 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.0069508834159905265, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 6.795226724653579e-05, 'reg_lambda': 0.0018251189194741075, 'gamma': 0.574603580182449}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:58:01,866] Trial 9 finished with value: -0.06737492452919076 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.0005115895094080383, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 4.0593710839066214e-05, 'reg_lambda': 50.03690424493104, 'gamma': 72.72989359214743}. Best is trial 2 with value: -0.10136854051783933.
[I 2026-07-14 18:58:03,522] Trial 10 finished with value: -0.06735572991640061 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.00729846661511181, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.4073943396432843e-05, 'reg_lambda': 0.0021502636334708464, 'gamma': 91.62875130527841}. Best is trial 2 with value: -0.10136854051783933.
