[I 2026-07-14 19:20:07,931] A new study created in RDB with name: my-study
[I 2026-07-14 19:20:15,918] Trial 2 finished with value: -0.08072358687762227 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.05231269031344782, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 3.0557363537739042e-06, 'reg_lambda': 0.052460228330065875, 'gamma': 0.015886574834284843}. Best is trial 2 with value: -0.08072358687762227.
[I 2026-07-14 19:20:30,140] Trial 0 finished with value: -0.06473071237671713 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.00018718903280320412, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0032549856186127085, 'reg_lambda': 4.139704095058871e-05, 'gamma': 9.300996815656038e-06}. Best is trial 2 with value: -0.08072358687762227.
[I 2026-07-14 19:20:31,274] Trial 1 finished with value: -0.06535267268783088 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1050, 'learning_rate': 0.016124498588677323, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 9.742094769389188e-05, 'reg_lambda': 55.9274747972822, 'gamma': 4.146293189363574}. Best is trial 2 with value: -0.08072358687762227.
[I 2026-07-14 19:20:31,864] Trial 3 finished with value: -0.06537268967640754 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.07959873918157068, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.001968962710526256, 'reg_lambda': 0.3196751568816198, 'gamma': 93.75563084540256}. Best is trial 2 with value: -0.08072358687762227.
[I 2026-07-14 19:20:35,630] Trial 6 finished with value: -0.0813010989343215 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1900, 'learning_rate': 0.08377813269486148, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 4.269597243882527e-06, 'reg_lambda': 0.1666467076694478, 'gamma': 0.014764881558818119}. Best is trial 6 with value: -0.0813010989343215.
[I 2026-07-14 19:21:05,392] Trial 5 finished with value: -0.06471318516736521 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.00024357314144426322, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.6739973091917302e-05, 'reg_lambda': 0.09246254273306377, 'gamma': 0.0008055980450641106}. Best is trial 6 with value: -0.0813010989343215.
[I 2026-07-14 19:21:11,663] Trial 7 finished with value: -0.06448825592114907 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1000, 'learning_rate': 0.02886952915260048, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 3.1866329204177326, 'reg_lambda': 6.270001498607837, 'gamma': 0.12957892609656818}. Best is trial 6 with value: -0.0813010989343215.
[I 2026-07-14 19:21:11,864] Trial 4 finished with value: -0.06833305411830745 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1400, 'learning_rate': 0.005313579437918887, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00030423538876740095, 'reg_lambda': 0.0002423895518272241, 'gamma': 1.6576444107000886e-06}. Best is trial 6 with value: -0.0813010989343215.
[I 2026-07-14 19:21:32,379] Trial 8 finished with value: -0.09875496733675784 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.006028552830917904, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 7.668024893788535e-06, 'reg_lambda': 0.0001504971619417229, 'gamma': 0.00015493482115971048}. Best is trial 8 with value: -0.09875496733675784.
[I 2026-07-14 19:21:33,566] Trial 9 finished with value: -0.08090273142518695 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.07364561387466859, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.6746952477804729, 'reg_lambda': 0.005007654484969648, 'gamma': 2.7051473852909524e-06}. Best is trial 8 with value: -0.09875496733675784.
[I 2026-07-14 19:21:35,726] Trial 10 finished with value: -0.06464571113988783 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.00575462582621849, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.006539888121831547, 'reg_lambda': 4.043713877891407, 'gamma': 0.00023631929738299862}. Best is trial 8 with value: -0.09875496733675784.
[I 2026-07-14 19:21:39,835] Trial 11 finished with value: -0.09970636790299453 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.24704180100464918, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.09910514084709329, 'reg_lambda': 91.06746773645014, 'gamma': 0.03475087062255444}. Best is trial 11 with value: -0.09970636790299453.
[I 2026-07-14 19:21:54,554] Trial 12 finished with value: -0.1934985725406405 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.48625595903309676, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 6.7939432070719334e-06, 'reg_lambda': 2.8911367900836865e-05, 'gamma': 1.7655607198690361e-06}. Best is trial 12 with value: -0.1934985725406405.
[I 2026-07-14 19:21:57,285] Trial 13 finished with value: -0.06535783000670675 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.0006892385950807655, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0001665305737675888, 'reg_lambda': 6.770811893865399e-05, 'gamma': 35.00713126132727}. Best is trial 12 with value: -0.1934985725406405.
[I 2026-07-14 19:21:57,730] Trial 14 finished with value: -0.06535690993991503 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.0009738224699641465, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 9.498791169257803e-06, 'reg_lambda': 7.193597075619447, 'gamma': 57.97581909238908}. Best is trial 12 with value: -0.1934985725406405.
[I 2026-07-14 19:21:59,923] Trial 15 finished with value: -0.06517807576985768 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0008254828849902065, 'max_depth': 12, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.002594242434027015, 'reg_lambda': 0.13836312973595327, 'gamma': 1.9864396952915916e-05}. Best is trial 12 with value: -0.1934985725406405.
[I 2026-07-14 19:22:01,479] Trial 16 finished with value: -0.06447279175643822 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.008400533906083332, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.838890703983385e-05, 'reg_lambda': 1.60104648275149, 'gamma': 0.0005716568067032214}. Best is trial 12 with value: -0.1934985725406405.
[I 2026-07-14 19:22:04,982] Trial 17 finished with value: -0.06535936893458832 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.0015663833875914127, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 51.89605127503027, 'reg_lambda': 2.021443595611836e-06, 'gamma': 0.00012735644253400753}. Best is trial 12 with value: -0.1934985725406405.
[I 2026-07-14 19:22:14,872] Trial 18 finished with value: -0.19887959702092034 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.45406781289628484, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.8217756000979779e-06, 'reg_lambda': 3.007123678601376e-06, 'gamma': 0.0011046895455120412}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:22:36,241] Trial 19 finished with value: -0.15171400470191626 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.45788900797418214, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.1332011197577827, 'reg_lambda': 3.95240944858586e-06, 'gamma': 0.00022999664299801459}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:22:39,859] Trial 20 finished with value: -0.06536058299995837 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.47629847564359556, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 88.25291959377584, 'reg_lambda': 1.8908442379263438e-06, 'gamma': 0.5898439122570039}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:22:40,599] Trial 21 finished with value: -0.06538431714957543 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.25357000788632306, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.08703938853283821, 'reg_lambda': 1.8360172166917344e-06, 'gamma': 0.6598902554605177}. Best is trial 18 with value: -0.19887959702092034.
[I 2026-07-14 19:22:42,396] Trial 22 finished with value: -0.06536058299995837 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1450, 'learning_rate': 0.49382074978308954, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 94.10625587329189, 'reg_lambda': 2.008509688381987e-06, 'gamma': 1.4803605799631958}. Best is trial 18 with value: -0.19887959702092034.
