[I 2026-07-14 19:34:49,623] A new study created in RDB with name: my-study
[I 2026-07-14 19:35:00,232] Trial 0 finished with value: -0.04153064560826746 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.15993286468935833, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 4.632733683067157, 'reg_lambda': 20.883765818092936, 'gamma': 0.000269613465853742}. Best is trial 0 with value: -0.04153064560826746.
[I 2026-07-14 19:35:04,394] Trial 1 finished with value: -0.03042247481161437 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.00022473899405123365, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 6.809119673348317, 'reg_lambda': 9.472763880144743, 'gamma': 1.0626586085079846e-05}. Best is trial 0 with value: -0.04153064560826746.
[I 2026-07-14 19:35:06,535] Trial 2 finished with value: -0.03255984195510876 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.00016803352439761409, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 50.76020737688802, 'reg_lambda': 0.041664057484145624, 'gamma': 0.0005066640923217237}. Best is trial 0 with value: -0.04153064560826746.
[I 2026-07-14 19:35:07,686] Trial 3 finished with value: -0.031149127950772987 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.0002806642024247773, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.2657132038210799, 'reg_lambda': 0.045585667356566294, 'gamma': 0.6350717006762795}. Best is trial 0 with value: -0.04153064560826746.
[I 2026-07-14 19:35:19,189] Trial 6 finished with value: -0.055604131175461584 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.1993778001507083, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0004218108152503958, 'reg_lambda': 0.015282453977986799, 'gamma': 5.312897647649651e-06}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:35:20,561] Trial 4 finished with value: -0.029762500760340913 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.021853443166336188, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.07132874764672245, 'reg_lambda': 2.8260801516385743, 'gamma': 1.9296434093927416e-05}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:35:21,847] Trial 5 finished with value: -0.03188647690731197 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.0001378861134492473, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0034670563418403443, 'reg_lambda': 1.5956333057536907, 'gamma': 0.8292650647813821}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:35:27,316] Trial 7 finished with value: -0.02916156811549967 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.019209718567273968, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.430242662561574, 'reg_lambda': 4.387357658438976, 'gamma': 2.6252699123318114e-06}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:35:43,350] Trial 8 finished with value: -0.04162454340948736 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.058644188062410535, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.004547568897437565, 'reg_lambda': 2.6275636078375726e-05, 'gamma': 1.6726113571965806e-05}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:35:48,624] Trial 9 finished with value: -0.03172668075330066 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.00030808157639440923, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0013730796391917268, 'reg_lambda': 2.7249691193358167e-05, 'gamma': 2.2403657945782368e-06}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:35:52,622] Trial 10 finished with value: -0.0290222450016163 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.014964157121643992, 'max_depth': 4, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 2.81579690607486, 'reg_lambda': 0.00010319758986683224, 'gamma': 0.0003978463278175414}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:35:58,634] Trial 11 finished with value: -0.02818830230705185 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.002753008447098853, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.26496844190226265, 'reg_lambda': 0.47210670465243754, 'gamma': 0.058198296998665106}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:35:58,877] Trial 12 finished with value: -0.027797749098620046 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.039638621078837956, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 7.0279394737969365e-06, 'reg_lambda': 32.663413988710175, 'gamma': 0.09216039216468738}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:36:00,818] Trial 13 finished with value: -0.03253854514332368 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1850, 'learning_rate': 0.00011656838909354322, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 8.771049071313211, 'reg_lambda': 40.08151056737389, 'gamma': 1.29983792109134}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:36:09,802] Trial 14 finished with value: -0.031143025723572408 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.004282230865248774, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.006269023277521763, 'reg_lambda': 0.0026350566376785707, 'gamma': 0.041722269318142026}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:36:11,499] Trial 15 finished with value: -0.027664326080409658 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.0026494538854988075, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00016508055244074296, 'reg_lambda': 0.5882966540998745, 'gamma': 0.0066098357272332585}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:36:14,139] Trial 16 finished with value: -0.032616886445591894 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.33714704125074807, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 7.352450171957299e-05, 'reg_lambda': 1.903659335976067, 'gamma': 65.26799163680776}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:36:17,871] Trial 17 finished with value: -0.03256491949901526 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 3000, 'learning_rate': 0.002758730654361618, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 1.3543665844932078e-06, 'reg_lambda': 0.002230791592237928, 'gamma': 71.50934330598605}. Best is trial 6 with value: -0.055604131175461584.
[I 2026-07-14 19:36:35,773] Trial 18 finished with value: -0.06266766096047331 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2500, 'learning_rate': 0.36159466644953075, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 4.17926515128253e-06, 'reg_lambda': 1.172758498833853e-06, 'gamma': 0.013445367876866721}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:36:44,786] Trial 19 finished with value: -0.05346028207475812 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.42439787938572887, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 5.6328785881156985e-06, 'reg_lambda': 1.954523614045073e-06, 'gamma': 0.010930206250675313}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:36:46,487] Trial 20 finished with value: -0.03255734286534632 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.3550878292071173, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 2.4595025594479607e-05, 'reg_lambda': 1.0010345936557403e-06, 'gamma': 39.85802148841786}. Best is trial 18 with value: -0.06266766096047331.
[I 2026-07-14 19:36:48,098] Trial 21 finished with value: -0.03255573050230111 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1250, 'learning_rate': 0.3560456902371107, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 6.182716764107659e-05, 'reg_lambda': 1.0011149321283388e-06, 'gamma': 92.08002339432618}. Best is trial 18 with value: -0.06266766096047331.
