[I 2026-07-14 19:51:29,261] A new study created in RDB with name: my-study
[I 2026-07-14 19:51:32,837] Trial 2 finished with value: -0.026333533215876215 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.0005153510809662121, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 34.637058344836625, 'reg_lambda': 0.0021769613729117005, 'gamma': 11.875880376700104}. Best is trial 2 with value: -0.026333533215876215.
[I 2026-07-14 19:51:36,685] Trial 0 finished with value: -0.02576955046366888 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.047887760612306714, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 6.990671170872073e-05, 'reg_lambda': 0.00043567395609859225, 'gamma': 1.8402586777754992}. Best is trial 2 with value: -0.026333533215876215.
[I 2026-07-14 19:51:47,188] Trial 1 finished with value: -0.024746919245476645 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.0003537611523056365, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0032603326513525066, 'reg_lambda': 9.97903202586403e-06, 'gamma': 0.10795403886682632}. Best is trial 2 with value: -0.026333533215876215.
[I 2026-07-14 19:52:06,285] Trial 4 finished with value: -0.030763228774300683 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.006677959507808457, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00014459841390926354, 'reg_lambda': 2.5052742473630945e-06, 'gamma': 0.0016247894038632048}. Best is trial 4 with value: -0.030763228774300683.
[I 2026-07-14 19:52:06,915] Trial 3 finished with value: -0.02633095346089597 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.0013540225841139333, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 10.54926444381976, 'reg_lambda': 38.60877217792774, 'gamma': 6.436458219525958}. Best is trial 4 with value: -0.030763228774300683.
[I 2026-07-14 19:52:07,520] Trial 5 finished with value: -0.024754318947646715 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.0019275489894448438, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.017992841586316543, 'reg_lambda': 1.4957258233173608e-05, 'gamma': 0.47764784650520803}. Best is trial 4 with value: -0.030763228774300683.
[I 2026-07-14 19:52:09,421] Trial 6 finished with value: -0.024278723911893427 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.014757933287027656, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 2.39658004296043e-06, 'reg_lambda': 0.14215347443579202, 'gamma': 0.09587627119132705}. Best is trial 4 with value: -0.030763228774300683.
[I 2026-07-14 19:52:11,308] Trial 7 finished with value: -0.025885776067988368 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.0005689766196558367, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 23.19430170955819, 'reg_lambda': 0.32539182928934896, 'gamma': 0.001069292076102129}. Best is trial 4 with value: -0.030763228774300683.
[I 2026-07-14 19:52:14,725] Trial 8 finished with value: -0.02560408816647569 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.000479978620552353, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.05428646522747274, 'reg_lambda': 0.04319509805850908, 'gamma': 1.3214628565902915}. Best is trial 4 with value: -0.030763228774300683.
[I 2026-07-14 19:52:16,665] Trial 9 finished with value: -0.029361690428673738 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 550, 'learning_rate': 0.07034747431217955, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 9.488677313632239e-05, 'reg_lambda': 1.279336007156703, 'gamma': 1.3274812833574922e-05}. Best is trial 4 with value: -0.030763228774300683.
[I 2026-07-14 19:52:49,761] Trial 11 finished with value: -0.024855304180966993 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.10637596818518345, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 21.29654002309117, 'reg_lambda': 7.0051968833380476e-06, 'gamma': 0.0005285285612554284}. Best is trial 4 with value: -0.030763228774300683.
