[I 2026-07-14 20:00:18,939] A new study created in RDB with name: my-study
[I 2026-07-14 20:00:24,481] Trial 2 finished with value: -0.05539072488382238 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.00025814012773761266, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0003036182441178591, 'reg_lambda': 1.4046227258703554e-06, 'gamma': 0.16916762476193556}. Best is trial 2 with value: -0.05539072488382238.
[I 2026-07-14 20:00:26,122] Trial 0 finished with value: -0.05538108963834115 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.2588598547235578, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 24.269919841324953, 'reg_lambda': 8.79436882977977e-05, 'gamma': 58.068593723818765}. Best is trial 2 with value: -0.05539072488382238.
[I 2026-07-14 20:00:29,697] Trial 1 finished with value: -0.055433386206389025 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.00031003733548345117, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 5.8358744471505934, 'reg_lambda': 3.508956091364902e-06, 'gamma': 0.1435414074466867}. Best is trial 1 with value: -0.055433386206389025.
[I 2026-07-14 20:00:32,028] Trial 6 finished with value: -0.05542305820635789 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.402981459862604, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 59.96642185835875, 'reg_lambda': 0.004529223572118476, 'gamma': 7.142066453499667e-05}. Best is trial 1 with value: -0.055433386206389025.
[I 2026-07-14 20:00:40,755] Trial 5 finished with value: -0.11436360435469548 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.12114908180225092, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.6113112834282773e-05, 'reg_lambda': 43.98323648601742, 'gamma': 1.234979814796702e-05}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:00:48,882] Trial 4 finished with value: -0.0965986206765054 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.17555380941674845, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 1.6009129984101697e-05, 'reg_lambda': 0.005914361153124639, 'gamma': 0.06357867956968194}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:00:59,368] Trial 3 finished with value: -0.055437275049111154 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.0001505038658822852, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 1.114616810041715e-06, 'reg_lambda': 23.09230563560968, 'gamma': 0.004575413001987485}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:14,702] Trial 7 finished with value: -0.07175638084775308 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1250, 'learning_rate': 0.008888647172374711, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 0.05633996149311803, 'reg_lambda': 0.00023322236379855855, 'gamma': 2.3666348260062302e-05}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:19,433] Trial 8 finished with value: -0.07596971155842873 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.07102978393342371, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3803612651996233, 'reg_lambda': 0.013494924611113044, 'gamma': 0.02563946145377271}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:20,912] Trial 9 finished with value: -0.05526231280515312 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.0006580841253619162, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.008251946616827266, 'reg_lambda': 87.85142969077306, 'gamma': 9.956893828112572e-05}. Best is trial 5 with value: -0.11436360435469548.
[I 2026-07-14 20:01:26,325] Trial 10 finished with value: -0.07026372011143904 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.06835466170119621, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 3.1078763085605523, 'reg_lambda': 0.0005324359575541693, 'gamma': 0.0005503020050860572}. Best is trial 5 with value: -0.11436360435469548.
