[I 2026-07-14 20:15:49,416] A new study created in RDB with name: my-study
[I 2026-07-14 20:15:55,525] Trial 2 finished with value: -0.05420439917029521 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.0011960144183905273, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0003558399279917754, 'reg_lambda': 0.007512847539668241, 'gamma': 0.001023041196351868}. Best is trial 2 with value: -0.05420439917029521.
[I 2026-07-14 20:15:57,247] Trial 1 finished with value: -0.05447536955118875 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.36671736080670897, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 14.254706105162906, 'reg_lambda': 0.3305514333551287, 'gamma': 0.45102154552843204}. Best is trial 1 with value: -0.05447536955118875.
[I 2026-07-14 20:16:00,129] Trial 0 finished with value: -0.054418272229375994 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2800, 'learning_rate': 0.05047257402957469, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 55.734537621669034, 'reg_lambda': 0.4518275713425879, 'gamma': 6.484021694214579e-05}. Best is trial 1 with value: -0.05447536955118875.
[I 2026-07-14 20:16:00,806] Trial 3 finished with value: -0.054405214592183566 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.00010307832839818829, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.09135131201038126, 'reg_lambda': 0.00012978618557932863, 'gamma': 0.00011390278596404944}. Best is trial 1 with value: -0.05447536955118875.
[I 2026-07-14 20:16:00,989] Trial 6 finished with value: -0.05443275185120865 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.005121714057524397, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00023770194214062105, 'reg_lambda': 0.0011166369112699608, 'gamma': 0.6441851481941238}. Best is trial 1 with value: -0.05447536955118875.
[I 2026-07-14 20:16:10,232] Trial 4 finished with value: -0.11069546343704574 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.07385459412290658, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 2.3941606218305006e-06, 'reg_lambda': 0.007667790971341299, 'gamma': 0.008063531274669218}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:11,551] Trial 5 finished with value: -0.05442316444257156 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1050, 'learning_rate': 0.36394262430987007, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 57.37323953751747, 'reg_lambda': 21.005994995976515, 'gamma': 0.0007528107130880893}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:13,634] Trial 7 finished with value: -0.054403563646242714 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2250, 'learning_rate': 0.04646493507520248, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0005560021387074243, 'reg_lambda': 8.895344333566121e-06, 'gamma': 87.20993205787698}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:17,696] Trial 8 finished with value: -0.057710641564235436 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.011755583631756873, 'max_depth': 3, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0048602222332182286, 'reg_lambda': 1.1685796400385912e-06, 'gamma': 0.0012457807029106372}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:19,118] Trial 9 finished with value: -0.05441142121517495 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.05687250832227639, 'max_depth': 12, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 3.0211845937153432e-05, 'reg_lambda': 68.31661450099676, 'gamma': 1.9706914150969115}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:19,831] Trial 10 finished with value: -0.05463351887153991 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.2211043260226268, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.04089648808513941, 'reg_lambda': 7.710482139113052e-06, 'gamma': 0.6518960826165427}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:22,839] Trial 11 finished with value: -0.05442316444257156 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.0035216834563101098, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.187371575347288, 'reg_lambda': 5.808011606699072e-05, 'gamma': 34.89973796977067}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:29,632] Trial 12 finished with value: -0.0832126641079379 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 850, 'learning_rate': 0.08519082245499197, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.9282486182539278e-06, 'reg_lambda': 0.013261877063504294, 'gamma': 1.1624719343137841e-06}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:33,797] Trial 13 finished with value: -0.05435276286487621 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.00012058173416792204, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.170436197478109, 'reg_lambda': 0.00011115126024139585, 'gamma': 0.001432389577465309}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:34,455] Trial 14 finished with value: -0.05442316444257156 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 500, 'learning_rate': 0.13967400478120173, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0005092510312023942, 'reg_lambda': 8.40805903660323e-06, 'gamma': 7.093607985093616}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:36,100] Trial 15 finished with value: -0.05442316444257156 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1400, 'learning_rate': 0.0005797486644275111, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 16.53630490414588, 'reg_lambda': 0.0030385280421117893, 'gamma': 0.002042993026708806}. Best is trial 4 with value: -0.11069546343704574.
[I 2026-07-14 20:16:47,400] Trial 16 finished with value: -0.24475656738612203 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.3667234382397571, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.001124216831935936, 'reg_lambda': 3.3258867210298027, 'gamma': 0.0021681855637258616}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:17:06,817] Trial 17 finished with value: -0.054366830386780876 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1850, 'learning_rate': 0.00010308435409794146, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 4.369445801632393e-06, 'reg_lambda': 0.11544036378273591, 'gamma': 2.6710322007029995e-06}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:17:19,964] Trial 18 finished with value: -0.07509132643272096 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1900, 'learning_rate': 0.007737296691985175, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 2.050974964546908e-06, 'reg_lambda': 0.026719636676725188, 'gamma': 1.6022648255076225e-06}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:17:31,026] Trial 19 finished with value: -0.07877929099272128 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.011339319444646062, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 2.131934485968605e-06, 'reg_lambda': 0.031146252564658552, 'gamma': 0.008194959127280797}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:17:41,435] Trial 20 finished with value: -0.09758053311883917 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1550, 'learning_rate': 0.08117213325433846, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1656919195332944e-06, 'reg_lambda': 0.008147405736951246, 'gamma': 1.6078045425934671e-06}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:17:54,424] Trial 21 finished with value: -0.10431202159552376 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.1035248859413386, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.799387492528117e-06, 'reg_lambda': 0.026658092018286523, 'gamma': 3.735802118577081e-06}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:18:06,405] Trial 22 finished with value: -0.08741400178540427 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.021622968617251288, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.093220694654094e-06, 'reg_lambda': 0.02707871968665935, 'gamma': 3.5635985936351667e-06}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:18:21,894] Trial 23 finished with value: -0.08739715487064123 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.017415256942164135, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 1.4063512191674819e-06, 'reg_lambda': 0.06882564214930219, 'gamma': 2.1212570347602427e-06}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:18:33,131] Trial 24 finished with value: -0.08677518467606635 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.018773119863112652, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 4.478403053617945e-06, 'reg_lambda': 1.7874076392977254, 'gamma': 0.031430015391849656}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:18:44,297] Trial 25 finished with value: -0.09255980168406716 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.021582115825006114, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 2.068350452034147e-05, 'reg_lambda': 6.620377124164872, 'gamma': 0.032845878644002555}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:19:04,679] Trial 26 finished with value: -0.11202323636835335 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.021218931746581977, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 2.510879698251828e-05, 'reg_lambda': 10.158170162066634, 'gamma': 0.03536530631279003}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:19:14,330] Trial 27 finished with value: -0.08442867183396525 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.024445786290861887, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 2.74699668955758e-05, 'reg_lambda': 7.763253090862985, 'gamma': 0.06290782515965844}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:19:33,524] Trial 28 finished with value: -0.107169823955084 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.019669323310232457, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.496120553079503e-05, 'reg_lambda': 4.127871093016605, 'gamma': 0.016207569256249374}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:19:44,337] Trial 29 finished with value: -0.07451922865945625 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.0238273448861413, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 4.2834688184138104e-05, 'reg_lambda': 3.174701374834828, 'gamma': 0.03106991111271445}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:19:56,590] Trial 30 finished with value: -0.13826932559166025 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.19499807560653662, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.3075916404184994e-05, 'reg_lambda': 5.715284948400043, 'gamma': 0.04964416659390087}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:20:09,856] Trial 31 finished with value: -0.1314779452616051 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.16596358016887855, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 1.949281726722273e-05, 'reg_lambda': 3.1465894964592094, 'gamma': 0.057208361162650906}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:20:21,079] Trial 32 finished with value: -0.14423507822139703 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.19921721759285071, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.2176716899835796e-05, 'reg_lambda': 3.4492341718124737, 'gamma': 0.07087718544929231}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:20:46,145] Trial 33 finished with value: -0.1557876641291044 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2600, 'learning_rate': 0.16906342421746456, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 3.8026477418027385e-05, 'reg_lambda': 0.0005811678763447757, 'gamma': 1.9143266953012467e-05}. Best is trial 16 with value: -0.24475656738612203.
[I 2026-07-14 20:20:58,373] Trial 34 finished with value: -0.16437937047252 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.17611862353070873, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 4.046341705080157e-05, 'reg_lambda': 3.1450678106185412, 'gamma': 0.07091292061006624}. Best is trial 16 with value: -0.24475656738612203.
