[I 2026-07-14 20:18:22,564] A new study created in RDB with name: my-study
[I 2026-07-14 20:18:57,707] Trial 2 finished with value: -0.04354473270489472 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.08621164916313599, 'max_depth': 11, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 9.16536122579805e-05, 'reg_lambda': 0.8914830442443709, 'gamma': 2.282450915727126e-06}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:02,236] Trial 1 finished with value: -0.01933594672982871 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.0005234692884698954, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.08530703802141398, 'reg_lambda': 0.005293849675313232, 'gamma': 0.9737690413756876}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:08,154] Trial 0 finished with value: -0.033173550148524494 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.14380482798480376, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0005990600199682355, 'reg_lambda': 1.2750203469177224, 'gamma': 0.02855570784110605}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:12,850] Trial 6 finished with value: -0.019366467393498326 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.005699398318551909, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.22852439314452913, 'reg_lambda': 0.0007514591957425734, 'gamma': 0.039651342597852024}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:13,094] Trial 5 finished with value: -0.019302755397601026 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1350, 'learning_rate': 0.004665494825070721, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 5.936817608318335e-06, 'reg_lambda': 40.54317642207051, 'gamma': 0.489230059628895}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:16,929] Trial 7 finished with value: -0.01949572649664829 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.002066455968627969, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 3.5154759839782117, 'reg_lambda': 0.3084188304980037, 'gamma': 0.0006656630688546431}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:17,662] Trial 3 finished with value: -0.027642776661461435 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2200, 'learning_rate': 0.0100594085273371, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0038084775032426912, 'reg_lambda': 0.000998350839052071, 'gamma': 0.012828017683029488}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:23,581] Trial 4 finished with value: -0.02247938479443455 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.019927749696822258, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 5.991539593950023, 'reg_lambda': 1.0131104313217954e-05, 'gamma': 1.632683776487598e-06}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:25,069] Trial 8 finished with value: -0.021617467859242488 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 900, 'learning_rate': 0.053629219729772595, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 2.269973348133875e-06, 'reg_lambda': 19.94696258048271, 'gamma': 9.55681822720951e-06}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:29,267] Trial 9 finished with value: -0.020471038152635256 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1450, 'learning_rate': 0.0069298115226369625, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.09079729515838746, 'reg_lambda': 36.505003751409895, 'gamma': 0.001424345316498648}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:31,875] Trial 10 finished with value: -0.019341958867994367 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.00012498797983937136, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00096666413905097, 'reg_lambda': 0.0038404222635344785, 'gamma': 0.6600606950445511}. Best is trial 2 with value: -0.04354473270489472.
[I 2026-07-14 20:19:34,252] Trial 11 finished with value: -0.01934235435061704 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2050, 'learning_rate': 0.1377332236843027, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 55.9522237306837, 'reg_lambda': 2.4608649286414828, 'gamma': 70.82802347185905}. Best is trial 2 with value: -0.04354473270489472.
