[I 2026-07-14 20:50:07,995] A new study created in RDB with name: my-study
[I 2026-07-14 20:50:14,618] Trial 2 finished with value: -0.019067873262349322 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2350, 'learning_rate': 0.12577011240519403, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 12.439565525821404, 'reg_lambda': 0.001988215133134174, 'gamma': 0.07466005449289079}. Best is trial 2 with value: -0.019067873262349322.
[I 2026-07-14 20:50:33,026] Trial 0 finished with value: -0.01906935532115355 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.0001236802818875689, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0002944269993395596, 'reg_lambda': 0.002461053297675982, 'gamma': 0.0030606691050329145}. Best is trial 0 with value: -0.01906935532115355.
[I 2026-07-14 20:50:35,970] Trial 1 finished with value: -0.019023789249005798 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0005625668508788297, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0725100572810806, 'reg_lambda': 0.0011819543622587142, 'gamma': 0.017055572134082046}. Best is trial 0 with value: -0.01906935532115355.
[I 2026-07-14 20:50:36,726] Trial 7 finished with value: -0.019121907038240068 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.1808506524381475, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.14814804200814524, 'reg_lambda': 0.0015792357396407495, 'gamma': 0.20867731852106408}. Best is trial 7 with value: -0.019121907038240068.
[I 2026-07-14 20:50:37,715] Trial 5 finished with value: -0.019054711240224637 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.0010891089171650209, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00023514383331468854, 'reg_lambda': 0.7157120595898547, 'gamma': 0.0002826658448486884}. Best is trial 7 with value: -0.019121907038240068.
[I 2026-07-14 20:50:38,701] Trial 3 finished with value: -0.0190392516117841 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.005454384086864759, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0035790987031782654, 'reg_lambda': 1.88831667390154e-06, 'gamma': 63.49164291822331}. Best is trial 7 with value: -0.019121907038240068.
[I 2026-07-14 20:50:47,317] Trial 6 finished with value: -0.024331417761522683 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.01159310559031179, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.36219567502959193, 'reg_lambda': 0.11941545056845221, 'gamma': 0.0054348492179339455}. Best is trial 6 with value: -0.024331417761522683.
[I 2026-07-14 20:50:58,494] Trial 4 finished with value: -0.0242908741844715 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.01600722469574112, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 4.410688613749695e-05, 'reg_lambda': 18.071416466368095, 'gamma': 1.8219798341110329e-06}. Best is trial 6 with value: -0.024331417761522683.
[I 2026-07-14 20:51:00,784] Trial 8 finished with value: -0.03252808720596867 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.429373789471209, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.011029512866331657, 'reg_lambda': 1.0976673768354288, 'gamma': 0.0054369867568311685}. Best is trial 8 with value: -0.03252808720596867.
[I 2026-07-14 20:51:05,114] Trial 9 finished with value: -0.07157516160335382 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.19647895658152661, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 8.025122728883978e-06, 'reg_lambda': 45.66395483780738, 'gamma': 0.0011948870706495807}. Best is trial 9 with value: -0.07157516160335382.
[I 2026-07-14 20:51:06,359] Trial 10 finished with value: -0.022618353394087597 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.32984911939700257, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 5.68595643410422, 'reg_lambda': 1.9346164759775193, 'gamma': 0.019388581850322394}. Best is trial 9 with value: -0.07157516160335382.
