[I 2026-07-14 20:53:22,327] A new study created in RDB with name: my-study
[I 2026-07-14 20:53:28,342] Trial 2 finished with value: -0.0526495379198037 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2150, 'learning_rate': 0.0001965292150059182, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 86.5764018155784, 'reg_lambda': 0.142029510195343, 'gamma': 1.902070947275369e-05}. Best is trial 2 with value: -0.0526495379198037.
[I 2026-07-14 20:53:33,622] Trial 0 finished with value: -0.05906109974900096 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.043734009246303586, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.050118556778805, 'reg_lambda': 9.49321673060984e-06, 'gamma': 0.0007349027080948419}. Best is trial 0 with value: -0.05906109974900096.
[I 2026-07-14 20:53:42,323] Trial 1 finished with value: -0.051635854492577356 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.0005042427440942787, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.000463454867220249, 'reg_lambda': 6.344978371442002e-06, 'gamma': 5.0556067207028864e-05}. Best is trial 0 with value: -0.05906109974900096.
[I 2026-07-14 20:53:59,573] Trial 3 finished with value: -0.052654318370315915 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.0003610497232672488, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.1694273263956078, 'reg_lambda': 0.0013966815866497276, 'gamma': 1.0173365876110816e-06}. Best is trial 0 with value: -0.05906109974900096.
[I 2026-07-14 20:54:01,473] Trial 4 finished with value: -0.08227560502062162 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.18542460698143387, 'max_depth': 10, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.000546921057893935, 'reg_lambda': 0.0017054730180719145, 'gamma': 0.054523914261750905}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:54:15,727] Trial 5 finished with value: -0.052397816633265995 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2400, 'learning_rate': 0.0010598560282900433, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.09633122585723582, 'reg_lambda': 15.521172887021507, 'gamma': 1.2558996563153124e-06}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:54:17,477] Trial 6 finished with value: -0.052636440042359095 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.02101544977843335, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 5.284585380665982, 'reg_lambda': 3.131594987156284e-05, 'gamma': 4.5359412981366924}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:54:37,446] Trial 7 finished with value: -0.07757714001827873 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.010661344605513181, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0027728611458712684, 'reg_lambda': 4.235637827585459e-05, 'gamma': 0.000515316889487516}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:54:40,041] Trial 8 finished with value: -0.0526495379198037 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.10978043190476788, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 2.6123366441403286, 'reg_lambda': 0.015601167873815821, 'gamma': 60.56999115658072}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:54:50,239] Trial 10 finished with value: -0.05253273892654299 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.0002746076277419671, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.008112900908640086, 'reg_lambda': 55.52334846024719, 'gamma': 0.1733872617111292}. Best is trial 4 with value: -0.08227560502062162.
[I 2026-07-14 20:54:50,342] Trial 9 finished with value: -0.054446478166766545 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.0025928208986973032, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0020031294270193276, 'reg_lambda': 0.00022443817589481942, 'gamma': 0.0017950308393141147}. Best is trial 4 with value: -0.08227560502062162.
