[I 2026-07-14 21:16:08,649] A new study created in RDB with name: my-study
[I 2026-07-14 21:16:18,877] Trial 1 finished with value: -0.04925275225777728 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.00010489076347048367, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.7421320144028059, 'reg_lambda': 1.0100825073816422e-06, 'gamma': 0.018547135893712367}. Best is trial 1 with value: -0.04925275225777728.
[I 2026-07-14 21:16:19,637] Trial 0 finished with value: -0.049702154982846455 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.00035874985923204007, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 61.62984505182479, 'reg_lambda': 0.2196402862204549, 'gamma': 1.1498754786819692}. Best is trial 0 with value: -0.049702154982846455.
[I 2026-07-14 21:16:26,455] Trial 2 finished with value: -0.04862245804608729 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.0008883784155223017, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00029604284762477516, 'reg_lambda': 0.8669242293437539, 'gamma': 2.4789702969214297e-06}. Best is trial 0 with value: -0.049702154982846455.
[I 2026-07-14 21:16:26,684] Trial 3 finished with value: -0.04968777133026912 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.00018726879491244783, 'max_depth': 3, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 1.9873761221418078e-05, 'reg_lambda': 0.06284401749322521, 'gamma': 0.32945657430186887}. Best is trial 0 with value: -0.049702154982846455.
[I 2026-07-14 21:16:29,590] Trial 4 finished with value: -0.04955461678245282 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2650, 'learning_rate': 0.05907556960564706, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 23.479024572168832, 'reg_lambda': 6.612221803928819e-06, 'gamma': 2.980480741869888e-05}. Best is trial 0 with value: -0.049702154982846455.
[I 2026-07-14 21:16:30,150] Trial 5 finished with value: -0.04971128569318464 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 400, 'learning_rate': 0.37843148293918516, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 24.374518914048792, 'reg_lambda': 21.02325584840592, 'gamma': 63.429029316677486}. Best is trial 5 with value: -0.04971128569318464.
[I 2026-07-14 21:16:33,727] Trial 6 finished with value: -0.049277006190578856 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 600, 'learning_rate': 0.0011783047427094133, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.001374529568471525, 'reg_lambda': 0.03640473689885845, 'gamma': 1.3554724246344956e-06}. Best is trial 5 with value: -0.04971128569318464.
[I 2026-07-14 21:16:43,964] Trial 7 finished with value: -0.13223962266589653 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.2040944776638695, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.023559781101970257, 'reg_lambda': 0.0019387768693092241, 'gamma': 4.523161869954817e-06}. Best is trial 7 with value: -0.13223962266589653.
[I 2026-07-14 21:16:44,139] Trial 8 finished with value: -0.04967640935115574 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.04624099632271478, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 5.330959189985917e-05, 'reg_lambda': 0.7738981141404555, 'gamma': 11.76156696709837}. Best is trial 7 with value: -0.13223962266589653.
[I 2026-07-14 21:16:49,986] Trial 9 finished with value: -0.049398530298129545 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1400, 'learning_rate': 0.0034848991904707456, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 3.267032798415077, 'reg_lambda': 1.074270207557806e-06, 'gamma': 2.659898208451527e-05}. Best is trial 7 with value: -0.13223962266589653.
[I 2026-07-14 21:17:08,484] Trial 10 finished with value: -0.14348607734135282 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.3259038974660793, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.20057919238993097, 'reg_lambda': 3.7030064622300752e-06, 'gamma': 7.852486237629245e-06}. Best is trial 10 with value: -0.14348607734135282.
