[I 2026-07-14 21:25:48,924] A new study created in RDB with name: my-study
[I 2026-07-14 21:25:54,664] Trial 2 finished with value: -0.24911912889370214 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.010466451642497264, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.6364183162181551, 'reg_lambda': 0.002936807169917705, 'gamma': 0.0008850574149385714}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:25:56,264] Trial 0 finished with value: -0.24366781851188557 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.017271110500820655, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 8.02980029991035e-05, 'reg_lambda': 0.8734661299196989, 'gamma': 48.40971935839649}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:25:58,690] Trial 1 finished with value: -0.24347313838894033 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.02612204666507274, 'max_depth': 4, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0006883470946034163, 'reg_lambda': 1.103631185271905e-05, 'gamma': 63.094072356628104}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:00,553] Trial 3 finished with value: -0.24366083956591844 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1550, 'learning_rate': 0.23112122906221005, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 31.771239729012972, 'reg_lambda': 84.27413886704014, 'gamma': 0.4156094921930427}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:04,153] Trial 6 finished with value: -0.24151963142386243 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2500, 'learning_rate': 0.01404146821487599, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 8.986747152656449, 'reg_lambda': 1.028552986933986e-05, 'gamma': 2.1614786935157644e-06}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:07,121] Trial 4 finished with value: -0.24000977067193904 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 800, 'learning_rate': 0.0005721323338323297, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.02588016946745434, 'reg_lambda': 3.3908299696971027, 'gamma': 0.005691718722383531}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:08,964] Trial 5 finished with value: -0.24368130007072358 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.027464207409342436, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 5.397163142745659, 'reg_lambda': 4.9270259906811785e-05, 'gamma': 50.18991723643469}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:11,192] Trial 7 finished with value: -0.2394445904330725 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.074438646755817, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.36897856173443566, 'reg_lambda': 69.02806998075206, 'gamma': 0.5881405116471092}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:21,208] Trial 9 finished with value: -0.24368586110599955 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 100, 'learning_rate': 0.012330500776113642, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.18584408800444585, 'reg_lambda': 0.4643913965620661, 'gamma': 17.893216056218918}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:21,485] Trial 8 finished with value: -0.242235855880991 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.0001709502510024475, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 5.55859394190215e-06, 'reg_lambda': 7.12944037149768e-06, 'gamma': 0.0007302237851892609}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:32,021] Trial 10 finished with value: -0.24410622932251916 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.001005650102740393, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.05168978823187854, 'reg_lambda': 3.5885641932389882, 'gamma': 0.0005133983060167034}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:35,180] Trial 11 finished with value: -0.23936527282284925 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1600, 'learning_rate': 0.00036423499598909964, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.01433252504645103, 'reg_lambda': 0.4777532065414696, 'gamma': 0.001639059163400189}. Best is trial 2 with value: -0.24911912889370214.
[I 2026-07-14 21:26:36,255] Trial 12 finished with value: -0.2435979039489569 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.021181694990195513, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.014950055160656301, 'reg_lambda': 35.72713442975319, 'gamma': 11.392150890678122}. Best is trial 2 with value: -0.24911912889370214.
