iter	Passed	Remaining
0	5	5801
1	9	4883
2	14	4801
3	18	4570
4	22	4409
5	25	4283
6	30	4269
7	33	4164
8	36	4064
9	40	3961
10	44	4004
11	48	3962
12	51	3908
13	54	3859
14	58	3851
15	62	3846
16	66	3822
17	69	3777
18	73	3811
19	77	3807
20	81	3790
21	86	3838
22	90	3835
23	94	3835
24	98	3841
25	109	4096
26	113	4085
27	116	4051
28	119	4016
29	124	4026
30	127	3999
31	131	3973
32	134	3942
33	138	3937
34	142	3936
35	145	3906
36	149	3889
37	152	3869
38	156	3864
39	160	3843
40	163	3821
41	166	3803
42	170	3797
43	174	3801
44	178	3788
45	181	3769
46	185	3759
47	189	3757
48	192	3744
49	196	3736
50	201	3742
51	205	3753
52	210	3755
53	215	3772
54	221	3808
55	225	3809
56	229	3798
57	234	3809
58	239	3816
59	242	3804
60	246	3791
61	250	3794
62	254	3791
63	258	3777
64	262	3769
65	266	3772
66	270	3771
67	274	3768
68	279	3767
69	284	3780
70	287	3767
71	291	3755
72	295	3746
73	299	3742
74	302	3731
75	307	3734
76	310	3725
77	316	3739
78	319	3726
79	322	3714
80	326	3700
81	330	3703
82	334	3698
83	338	3695
84	342	3691
85	348	3701
86	354	3719
87	359	3727
88	365	3736
89	369	3739
90	373	3734
91	378	3733
92	381	3724
93	385	3717
94	390	3719
95	395	3725
96	400	3725
97	403	3715
98	409	3723
99	414	3731
100	418	3726
101	422	3721
102	428	3733
103	432	3730
104	437	3731
105	443	3738
106	447	3735
107	451	3731
108	459	3756
109	464	3758
110	468	3752
111	474	3758
112	478	3759
113	483	3759
114	488	3761
115	493	3761
116	498	3758
117	502	3757
118	506	3752
119	511	3748
120	515	3743
121	521	3749
122	525	3743
123	528	3735
124	532	3728
125	543	3769
126	546	3759
127	552	3761
128	556	3759
129	561	3755
130	566	3756
131	571	3759
132	576	3755
133	581	3754
134	586	3759
135	591	3755
136	597	3763
137	603	3766
138	607	3765
139	612	3762
140	617	3762
141	621	3756
142	626	3752
143	631	3753
144	636	3750
145	639	3742
146	644	3741
147	648	3734
148	652	3727
149	656	3717
150	660	3714
151	664	3709
152	668	3702
153	672	3693
154	676	3690
155	680	3682
156	683	3672
157	687	3663
158	694	3672
159	698	3667
160	702	3661
161	708	3665
162	713	3664
163	717	3657
164	720	3648
165	725	3645
166	729	3637
167	733	3630
168	737	3625
169	741	3622
170	745	3614
171	749	3608
172	753	3600
173	757	3597
174	763	3599
175	768	3597
176	773	3596
177	777	3589
178	780	3581
179	784	3574
180	789	3574
181	793	3568
182	797	3560
