[I 2026-07-17 11:13:43,492] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:13:51,065] Trial 2 finished with value: -0.16330056823929737 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1800, 'learning_rate': 0.08252025132546363, 'max_depth': 3, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00017170784912990886, 'reg_lambda': 2.520445955903157, 'gamma': 0.21485183514984701}. Best is trial 2 with value: -0.16330056823929737.
[I 2026-07-17 11:13:53,180] Trial 1 finished with value: -0.1707360940631885 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.04212223143611676, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0002092615481835446, 'reg_lambda': 11.481222981471836, 'gamma': 3.8693089403124034e-05}. Best is trial 1 with value: -0.1707360940631885.
[I 2026-07-17 11:13:54,605] Trial 0 finished with value: -0.18276095145741264 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.00122888213238216, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.3897326268293094, 'reg_lambda': 0.3245873070757504, 'gamma': 2.2759604927816546}. Best is trial 0 with value: -0.18276095145741264.
[I 2026-07-17 11:14:03,116] Trial 3 finished with value: -0.16573568522758164 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2300, 'learning_rate': 0.03870966167088274, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.003831287497779095, 'reg_lambda': 35.93400527408429, 'gamma': 0.5604128897956132}. Best is trial 0 with value: -0.18276095145741264.
[I 2026-07-17 11:14:06,870] Trial 4 finished with value: -0.16734281982635563 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.006258256524241498, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 4.4996234327766285, 'reg_lambda': 0.15012421187967878, 'gamma': 0.4284974003593951}. Best is trial 0 with value: -0.18276095145741264.
[I 2026-07-17 11:14:09,423] Trial 6 finished with value: -0.19340585470747207 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.0010369022441218737, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 76.72412903518179, 'reg_lambda': 0.00070658814561589, 'gamma': 32.60497662570733}. Best is trial 6 with value: -0.19340585470747207.
[I 2026-07-17 11:14:11,634] Trial 5 finished with value: -0.16691562436817778 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 650, 'learning_rate': 0.006153431620484954, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 5.3326874503795195e-05, 'reg_lambda': 7.137272272631318e-05, 'gamma': 0.7337474859068182}. Best is trial 6 with value: -0.19340585470747207.
[I 2026-07-17 11:14:35,072] Trial 7 finished with value: -0.1772565919600784 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1150, 'learning_rate': 0.000645058499663216, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.003724562386836834, 'reg_lambda': 2.6731988770040265, 'gamma': 0.0021090431227996473}. Best is trial 6 with value: -0.19340585470747207.
[I 2026-07-17 11:14:44,136] Trial 8 finished with value: -0.19053150954786546 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1150, 'learning_rate': 0.0002648386741013962, 'max_depth': 10, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 3.725357956044041e-05, 'reg_lambda': 0.007680845542050437, 'gamma': 1.3953750593676064}. Best is trial 6 with value: -0.19340585470747207.
[I 2026-07-17 11:14:47,815] Trial 9 finished with value: -0.16580958457054193 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.0796369855521748, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 1.715429870775911, 'reg_lambda': 0.0001660021158542077, 'gamma': 0.10413157953509035}. Best is trial 6 with value: -0.19340585470747207.
[I 2026-07-17 11:14:48,538] Trial 10 finished with value: -0.19098941046641116 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.10707303264032447, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.24188479625425158, 'reg_lambda': 0.005201902065394479, 'gamma': 56.83726457026453}. Best is trial 6 with value: -0.19340585470747207.
[I 2026-07-17 11:14:54,059] Trial 11 finished with value: -0.20000564008596108 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.0002085344929055914, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.061586728062511e-06, 'reg_lambda': 6.31385900486736, 'gamma': 6.344398271706457e-06}. Best is trial 11 with value: -0.20000564008596108.
[I 2026-07-17 11:14:56,519] Trial 12 finished with value: -0.19393778574187953 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 500, 'learning_rate': 0.0004039831958391817, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1481216039211428e-06, 'reg_lambda': 0.6131862505289164, 'gamma': 0.0002081003110834913}. Best is trial 11 with value: -0.20000564008596108.
[I 2026-07-17 11:14:58,934] Trial 13 finished with value: -0.1697526616020411 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.17088865514665638, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.001299688513485335, 'reg_lambda': 7.992817709285358e-05, 'gamma': 3.222445242317045}. Best is trial 11 with value: -0.20000564008596108.
[I 2026-07-17 11:15:04,803] Trial 14 finished with value: -0.17403386644270824 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 750, 'learning_rate': 0.046586293841429934, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.002319146554718046, 'reg_lambda': 1.3190120537757837e-06, 'gamma': 0.034938712123715465}. Best is trial 11 with value: -0.20000564008596108.
[I 2026-07-17 11:15:07,722] Trial 15 finished with value: -0.1955679459338703 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1650, 'learning_rate': 0.0002027955332763476, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00010082478979015371, 'reg_lambda': 87.98539921424054, 'gamma': 36.9985801959815}. Best is trial 11 with value: -0.20000564008596108.
[I 2026-07-17 11:15:12,583] Trial 16 finished with value: -0.16825623281660237 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.00823716286231449, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.8914988486279577e-05, 'reg_lambda': 8.163488718251163, 'gamma': 5.318697583752848e-05}. Best is trial 11 with value: -0.20000564008596108.
[I 2026-07-17 11:15:16,916] Trial 17 finished with value: -0.19338592606097332 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2950, 'learning_rate': 0.3683895465741578, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 21.735855627046234, 'reg_lambda': 1.6835556759158968e-06, 'gamma': 57.487406858524416}. Best is trial 11 with value: -0.20000564008596108.
[I 2026-07-17 11:15:19,532] Trial 18 finished with value: -0.20378686841739882 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1650, 'learning_rate': 0.3349428754339406, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 64.13815511509, 'reg_lambda': 1.8998016842522457e-06, 'gamma': 50.558445129672016}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:15:30,070] Trial 19 finished with value: -0.19270548156969416 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2850, 'learning_rate': 0.00011717529830634797, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 96.19243417302653, 'reg_lambda': 1.0517813331292362e-06, 'gamma': 2.0387941761649117e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:15:31,747] Trial 20 finished with value: -0.20276576643183594 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.00010363832689054038, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.349807841118724e-06, 'reg_lambda': 2.4344035337551874e-06, 'gamma': 1.036192933348656e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:15:33,056] Trial 21 finished with value: -0.20262009533491948 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00017991189428837823, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1340234666858196e-06, 'reg_lambda': 1.6126286609969434e-06, 'gamma': 1.356815569564e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:15:34,859] Trial 22 finished with value: -0.20245488666711528 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 150, 'learning_rate': 0.00013824355203511824, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.7627982580880426e-06, 'reg_lambda': 0.12629315908300068, 'gamma': 1.0758508327335308e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:15:58,034] Trial 23 finished with value: -0.18964754296503383 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.00010781661774840213, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 4.185508953284828e-06, 'reg_lambda': 39.959374808932296, 'gamma': 1.4464896978225863e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:16:16,660] Trial 24 finished with value: -0.19091181403746865 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.00010084491611383604, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1744948808891214e-06, 'reg_lambda': 95.14708601003484, 'gamma': 3.0758634143113648e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:16:39,589] Trial 25 finished with value: -0.19443014619996662 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.00010074426507949734, 'max_depth': 8, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 1.577477386993521e-06, 'reg_lambda': 37.44404387599382, 'gamma': 6.399580846803929e-06}. Best is trial 18 with value: -0.20378686841739882.
[I 2026-07-17 11:17:08,866] Trial 26 finished with value: -0.1912338727707377 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.00011569382188809985, 'max_depth': 9, 'min_child_weight': 9, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 2.240370984167446e-06, 'reg_lambda': 9.257063313749008e-06, 'gamma': 2.7034606566529845e-06}. Best is trial 18 with value: -0.20378686841739882.
