[I 2026-07-17 11:25:57,026] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:26:13,897] Trial 1 finished with value: -0.19854270404343627 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.0007042126855616443, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 9.590082767949234e-06, 'reg_lambda': 6.032770774513172e-06, 'gamma': 0.5221726801777773}. Best is trial 1 with value: -0.19854270404343627.
[I 2026-07-17 11:26:14,247] Trial 0 finished with value: -0.2046656125532099 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.13983360655477897, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.7589497055990259, 'reg_lambda': 4.623746660449818e-05, 'gamma': 8.768423948464948}. Best is trial 0 with value: -0.2046656125532099.
[I 2026-07-17 11:26:32,088] Trial 2 finished with value: -0.20050963419062165 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2800, 'learning_rate': 0.00042200894442361877, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.019314423774108337, 'reg_lambda': 0.0008345469060101922, 'gamma': 0.000290065514651245}. Best is trial 0 with value: -0.2046656125532099.
[I 2026-07-17 11:27:19,928] Trial 3 finished with value: -0.2755535299327183 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.3608081255237084, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.03609745296348159, 'reg_lambda': 0.009254201588043189, 'gamma': 0.006638592841771546}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:27:22,467] Trial 4 finished with value: -0.21146896577275415 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1650, 'learning_rate': 0.057284220517982445, 'max_depth': 8, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.9949349595284607e-05, 'reg_lambda': 0.0300774861281182, 'gamma': 20.411226422462747}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:27:24,431] Trial 5 finished with value: -0.19519649554272384 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.21110320365449428, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 5.454257259156122e-06, 'reg_lambda': 0.0016246384305833265, 'gamma': 2.3252589206106225e-05}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:28:18,014] Trial 6 finished with value: -0.2038279147821111 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.00041254911946574276, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.029997063188628926, 'reg_lambda': 2.7937760051593493e-06, 'gamma': 2.79718557122072e-06}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:28:22,564] Trial 7 finished with value: -0.21391784843696246 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.001195763113730298, 'max_depth': 3, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.1421797749290733e-06, 'reg_lambda': 18.6114840281663, 'gamma': 24.783286582928636}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:28:28,554] Trial 8 finished with value: -0.2053967702236319 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.1985107006064725, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 5.1865268935056985, 'reg_lambda': 8.202605895521266, 'gamma': 0.0012105898523201693}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:28:29,512] Trial 9 finished with value: -0.21854175092261646 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.0012260470544119557, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.01083503361453955, 'reg_lambda': 0.00015265133507693168, 'gamma': 1.471200590212417e-05}. Best is trial 3 with value: -0.2755535299327183.
[I 2026-07-17 11:28:31,156] Trial 10 finished with value: -0.19185082968658512 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 300, 'learning_rate': 0.010414516932270688, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.7992792687006177, 'reg_lambda': 60.95202393240072, 'gamma': 6.4907165942087125e-06}. Best is trial 3 with value: -0.2755535299327183.
