[I 2026-07-17 11:29:48,288] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:30:21,209] Trial 1 finished with value: -0.20944318156284755 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.014947970239744028, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.04374175969755042, 'reg_lambda': 0.04074278921691646, 'gamma': 8.782182188728768e-05}. Best is trial 1 with value: -0.20944318156284755.
[I 2026-07-17 11:30:22,062] Trial 0 finished with value: -0.25687011215757005 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.00440725913125493, 'max_depth': 9, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0009966901906913702, 'reg_lambda': 17.02261803517151, 'gamma': 10.511638821817186}. Best is trial 0 with value: -0.25687011215757005.
[I 2026-07-17 11:30:26,340] Trial 2 finished with value: -0.18666296696330645 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1300, 'learning_rate': 0.07393149066568312, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 2.073831608596891e-06, 'reg_lambda': 0.01605116629171969, 'gamma': 1.5031800017430685e-05}. Best is trial 0 with value: -0.25687011215757005.
[I 2026-07-17 11:30:27,394] Trial 4 finished with value: -0.30451787797752206 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.17516525444210496, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.0659159303241386e-06, 'reg_lambda': 0.551829973291544, 'gamma': 91.6786437076794}. Best is trial 4 with value: -0.30451787797752206.
[I 2026-07-17 11:30:34,053] Trial 3 finished with value: -0.19987965181374648 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.22837861902087395, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 1.1729449199675679e-06, 'reg_lambda': 0.019750513925478917, 'gamma': 1.4546572886730613}. Best is trial 4 with value: -0.30451787797752206.
[I 2026-07-17 11:30:36,769] Trial 5 finished with value: -0.2826083111831436 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.014896745892376837, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.863200145777812e-06, 'reg_lambda': 0.5803226414817624, 'gamma': 67.99519049655707}. Best is trial 4 with value: -0.30451787797752206.
[I 2026-07-17 11:30:42,861] Trial 6 finished with value: -0.24171899929284854 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2150, 'learning_rate': 0.0007204162557489884, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 17.069907726737238, 'reg_lambda': 1.3783190311429608e-06, 'gamma': 2.1290745456858478}. Best is trial 4 with value: -0.30451787797752206.
[I 2026-07-17 11:30:46,037] Trial 7 finished with value: -0.3045183622987386 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 900, 'learning_rate': 0.00029319375096054854, 'max_depth': 3, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0006222818759568497, 'reg_lambda': 0.014623926252837986, 'gamma': 2.55156482128944e-06}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:30:47,731] Trial 8 finished with value: -0.23208918290673317 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.01680066166182741, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.3940548492501484e-05, 'reg_lambda': 0.013697437015771865, 'gamma': 15.872785931325538}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:31:18,436] Trial 9 finished with value: -0.23453376736020992 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2650, 'learning_rate': 0.26633276925346155, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 5.5882697686081775, 'reg_lambda': 0.07334575936590058, 'gamma': 0.003999288406405185}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:31:20,917] Trial 10 finished with value: -0.27386346323329447 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.0009777862530761618, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 7.429024807424823e-05, 'reg_lambda': 0.6948224274069682, 'gamma': 1.9310175564793863e-05}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:31:28,170] Trial 11 finished with value: -0.1876264884083519 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.0030700552614462712, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.27549417238125273, 'reg_lambda': 72.56522992944993, 'gamma': 2.283416576561973e-05}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:31:37,160] Trial 12 finished with value: -0.2926574051818076 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 750, 'learning_rate': 0.0004343126947046906, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 6.165281698065887e-06, 'reg_lambda': 0.8522669089472377, 'gamma': 0.007393109177807756}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:31:42,440] Trial 13 finished with value: -0.2758692997819155 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.0006557168912759103, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.00021483704811698143, 'reg_lambda': 0.019961533749155522, 'gamma': 0.0005502887633608796}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:31:52,909] Trial 14 finished with value: -0.26000513398278347 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.0003194759646149642, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.000402521675151032, 'reg_lambda': 1.972212293904753e-06, 'gamma': 0.001424067015011986}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:31:56,554] Trial 15 finished with value: -0.23347451919139084 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2250, 'learning_rate': 0.06997881033470825, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 3.372270283269211e-05, 'reg_lambda': 70.30597850465973, 'gamma': 9.790156054768575}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:32:01,321] Trial 16 finished with value: -0.2148610088658668 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.001339935441465303, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 8.870292888439568, 'reg_lambda': 0.5277770514998418, 'gamma': 0.041798402785898324}. Best is trial 7 with value: -0.3045183622987386.
[I 2026-07-17 11:32:46,072] Trial 17 finished with value: -0.31252728306577077 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.00011391753419398783, 'max_depth': 12, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.114852173159931, 'reg_lambda': 4.197632975914278e-05, 'gamma': 0.014891029207435501}. Best is trial 17 with value: -0.31252728306577077.
[I 2026-07-17 11:32:52,538] Trial 18 finished with value: -0.3207717230775268 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.0001130419567639113, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 0.004776080492869119, 'reg_lambda': 0.00011603485202267765, 'gamma': 0.040730532912552124}. Best is trial 18 with value: -0.3207717230775268.
[I 2026-07-17 11:32:59,659] Trial 20 finished with value: -0.3319209861730077 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00022235035555597687, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0007068352113828969, 'reg_lambda': 0.0003146351289125278, 'gamma': 0.023135785763999453}. Best is trial 20 with value: -0.3319209861730077.
[I 2026-07-17 11:32:59,948] Trial 19 finished with value: -0.3190336183243081 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.0001366861606609841, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00126353896172683, 'reg_lambda': 9.03279909320247e-05, 'gamma': 0.01737178490189672}. Best is trial 20 with value: -0.3319209861730077.
[I 2026-07-17 11:33:00,390] Trial 21 finished with value: -0.1892908164580122 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.06307829434086129, 'max_depth': 7, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.008716384959558345, 'reg_lambda': 0.00017236383067978462, 'gamma': 0.13979046821475177}. Best is trial 20 with value: -0.3319209861730077.
[I 2026-07-17 11:33:02,953] Trial 22 finished with value: -0.3319147000938649 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 150, 'learning_rate': 0.00012084400233367371, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.008474478180527106, 'reg_lambda': 0.0004932917138649982, 'gamma': 0.0940245433032289}. Best is trial 20 with value: -0.3319209861730077.
[I 2026-07-17 11:33:06,877] Trial 23 finished with value: -0.3278083056993285 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0001918960554922166, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.007871088895355692, 'reg_lambda': 0.00033188242208668074, 'gamma': 0.09877038130917257}. Best is trial 20 with value: -0.3319209861730077.
