[I 2026-07-17 11:31:04,544] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:31:19,159] Trial 2 finished with value: -0.1897762866012475 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2950, 'learning_rate': 0.0011583305922758652, 'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 5.31212472727279e-06, 'reg_lambda': 0.11543816307705498, 'gamma': 0.04828716885819405}. Best is trial 2 with value: -0.1897762866012475.
[I 2026-07-17 11:31:21,649] Trial 0 finished with value: -0.21100453706095879 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.0807439581713648, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 29.904371366322053, 'reg_lambda': 0.09670550406834237, 'gamma': 0.023781614356409665}. Best is trial 0 with value: -0.21100453706095879.
[I 2026-07-17 11:31:26,688] Trial 1 finished with value: -0.18575775224987315 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.07980967812485787, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.18467625634585985, 'reg_lambda': 0.006250450775357605, 'gamma': 0.9119862208287203}. Best is trial 0 with value: -0.21100453706095879.
[I 2026-07-17 11:31:58,174] Trial 5 finished with value: -0.19987966785415567 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2050, 'learning_rate': 0.021211193068373154, 'max_depth': 9, 'min_child_weight': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.006542632696703178, 'reg_lambda': 0.09371335119834553, 'gamma': 2.9596745805382074e-05}. Best is trial 0 with value: -0.21100453706095879.
[I 2026-07-17 11:32:01,846] Trial 3 finished with value: -0.21256732207016193 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.48302500047890407, 'max_depth': 9, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.00010805152631279692, 'reg_lambda': 1.8480482809040648e-05, 'gamma': 8.88264598154194}. Best is trial 3 with value: -0.21256732207016193.
[I 2026-07-17 11:32:06,067] Trial 4 finished with value: -0.22770821968686253 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.32805947205594777, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 60.268892703340335, 'reg_lambda': 0.06460310968335098, 'gamma': 0.015524386809673277}. Best is trial 4 with value: -0.22770821968686253.
[I 2026-07-17 11:32:11,446] Trial 6 finished with value: -0.27881850281255405 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2600, 'learning_rate': 0.00034383427627307744, 'max_depth': 9, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00210629794859766, 'reg_lambda': 6.550038605096736, 'gamma': 19.526846766122357}. Best is trial 6 with value: -0.27881850281255405.
[I 2026-07-17 11:32:22,668] Trial 7 finished with value: -0.20336026357813414 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.020223607362604836, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.3578753372896459, 'reg_lambda': 0.10452681220146505, 'gamma': 0.00033173826170246687}. Best is trial 6 with value: -0.27881850281255405.
[I 2026-07-17 11:32:27,599] Trial 8 finished with value: -0.31857044777749244 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 450, 'learning_rate': 0.00019348617809489133, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0010860699921477882, 'reg_lambda': 3.5820549708247305e-05, 'gamma': 1.0527619357961713}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:32:32,046] Trial 9 finished with value: -0.2062598750894436 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2450, 'learning_rate': 0.12324203245595733, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00043232104170868435, 'reg_lambda': 4.741878149645378, 'gamma': 4.490339931005456}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:32:52,775] Trial 10 finished with value: -0.18236987619902167 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2200, 'learning_rate': 0.00745587952131512, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.047418837927924146, 'reg_lambda': 5.0339277145436754e-05, 'gamma': 0.2788190279031908}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:33:04,295] Trial 11 finished with value: -0.19217006563368405 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.036274134777816866, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 5.826021835469518e-05, 'reg_lambda': 1.0363940534523406, 'gamma': 0.0015383928146101536}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:33:47,352] Trial 12 finished with value: -0.20299145299171606 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.010975618194171624, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0005936683151411623, 'reg_lambda': 20.520473534341043, 'gamma': 0.022903264461733006}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:34:34,605] Trial 13 finished with value: -0.20202929477938986 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.025768734246389743, 'max_depth': 10, 'min_child_weight': 6, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.013063787265647579, 'reg_lambda': 0.0006374485248421584, 'gamma': 1.3741734221783647e-06}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:34:37,988] Trial 14 finished with value: -0.2195121460202705 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.05394563019106207, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 3.178922740027582e-05, 'reg_lambda': 0.03181851633311953, 'gamma': 10.800818073272627}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:34:38,654] Trial 16 finished with value: -0.19833195213451882 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 200, 'learning_rate': 0.04528184859573742, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 12.463852238517903, 'reg_lambda': 29.395849431823514, 'gamma': 0.07528018991064143}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:34:38,893] Trial 15 finished with value: -0.18355429373051307 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.027952147272821696, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.047976824477236564, 'reg_lambda': 2.0878902200713062e-05, 'gamma': 0.28661158236686285}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:34:40,073] Trial 17 finished with value: -0.3027799112753945 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.0027090870604338777, 'max_depth': 12, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 1.0484947610759326e-06, 'reg_lambda': 2.7727463462662567e-06, 'gamma': 2.2186435328428704e-06}. Best is trial 8 with value: -0.31857044777749244.
[I 2026-07-17 11:34:40,127] Trial 18 finished with value: -0.3335029433201794 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00010733224656428195, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.000633418331314284, 'reg_lambda': 24.610169625617885, 'gamma': 62.206556438648576}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:40,390] Trial 19 finished with value: -0.3334927034552528 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00010860288034334365, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0025749012562609314, 'reg_lambda': 63.245804274178184, 'gamma': 59.99256853397661}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:40,686] Trial 20 finished with value: -0.33281172611531623 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.0001600584401105944, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0548443855693328e-06, 'reg_lambda': 1.1907872312232026e-06, 'gamma': 93.18303272413135}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:41,066] Trial 21 finished with value: -0.332776103802758 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 200, 'learning_rate': 0.00010654472952394027, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 2.0742240645357873e-06, 'reg_lambda': 1.2455097568709388e-06, 'gamma': 48.904402084856535}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:41,625] Trial 22 finished with value: -0.3305752793807498 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.0001362988922132951, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0027340899752076936, 'reg_lambda': 0.0004915063775982071, 'gamma': 41.40992949334533}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:43,702] Trial 23 finished with value: -0.3233506171639085 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.00014069581900988295, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.003735301776883392, 'reg_lambda': 1.2114433381237352e-06, 'gamma': 97.00835053542905}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:46,020] Trial 24 finished with value: -0.32403410495991175 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1200, 'learning_rate': 0.0001198238651680064, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0019922030665475814, 'reg_lambda': 1.0928289471872417e-06, 'gamma': 93.20747837677561}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:48,218] Trial 25 finished with value: -0.32241534189292403 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1150, 'learning_rate': 0.00014703470935676678, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 0.000737401001280345, 'reg_lambda': 0.0006626989541343243, 'gamma': 72.78243067811779}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:50,239] Trial 26 finished with value: -0.3264482684905373 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.00010282190604274003, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 2.3191621373545805, 'reg_lambda': 0.0006628173432189953, 'gamma': 72.05306615021344}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:52,039] Trial 27 finished with value: -0.3280806976672525 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.00011040190863644625, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 8.69342310349213e-06, 'reg_lambda': 58.20329666758465, 'gamma': 99.93685027047823}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:54,116] Trial 28 finished with value: -0.32411194358110806 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1100, 'learning_rate': 0.00013102514116289742, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.087443430408424e-05, 'reg_lambda': 62.28354296442763, 'gamma': 58.545175162010516}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:56,134] Trial 29 finished with value: -0.31119585922697135 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1000, 'learning_rate': 0.0004536791932774493, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 1.295763788707431e-05, 'reg_lambda': 99.93672714217861, 'gamma': 98.45671360041524}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:34:57,869] Trial 30 finished with value: -0.31161249053117746 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 950, 'learning_rate': 0.0005360418734770411, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 8.161501978435166e-06, 'reg_lambda': 59.27854472063499, 'gamma': 93.60173536605404}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:00,452] Trial 31 finished with value: -0.29802442200156976 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 800, 'learning_rate': 0.000429451053153664, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 1.013920883684543e-05, 'reg_lambda': 1.143616732582251, 'gamma': 3.024906156040348}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:02,147] Trial 32 finished with value: -0.30386507761118703 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.0005101743382971576, 'max_depth': 6, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 8.328779091409087e-06, 'reg_lambda': 78.35233442227742, 'gamma': 2.5291168043507977}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:04,087] Trial 33 finished with value: -0.3051861664640196 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.0004204067951575508, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 9.346898101773319e-06, 'reg_lambda': 86.37077759460523, 'gamma': 2.5494997243525885}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:06,083] Trial 34 finished with value: -0.30371102958488266 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.00045739916705572227, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 8.586663710891906e-06, 'reg_lambda': 57.39633970284834, 'gamma': 2.319929778631473}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:08,260] Trial 35 finished with value: -0.30025984997940525 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.0004389086703735065, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00016268276902127655, 'reg_lambda': 1.2982742174969208, 'gamma': 3.7688105370592537}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:10,636] Trial 36 finished with value: -0.3018702285748362 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.00042447854661807025, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00031838537364775013, 'reg_lambda': 0.8838182479127166, 'gamma': 2.73611679257091}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:12,454] Trial 37 finished with value: -0.3004575401865244 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 600, 'learning_rate': 0.000535725800816731, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00018202251622945675, 'reg_lambda': 3.79141217214893, 'gamma': 2.545307329755202}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:14,565] Trial 38 finished with value: -0.3106197215198402 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 600, 'learning_rate': 0.0002946884104625253, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 2.386975176986376e-06, 'reg_lambda': 6.327184733669022e-06, 'gamma': 3.2359912344896795}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:15,478] Trial 39 finished with value: -0.32297083246527364 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 400, 'learning_rate': 0.0002648853974974426, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.184215925261934e-06, 'reg_lambda': 7.695498754171518e-06, 'gamma': 14.272076425018959}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:16,198] Trial 40 finished with value: -0.325229331702048 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0002625812795922503, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0775852388053577e-06, 'reg_lambda': 7.976718116610882e-06, 'gamma': 17.432198893001857}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:16,968] Trial 41 finished with value: -0.29883597732104106 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0012145607619527441, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.5389673188207612e-06, 'reg_lambda': 5.700914276350254e-06, 'gamma': 16.435104349269924}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:17,693] Trial 42 finished with value: -0.3251922103668684 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0002522277866583264, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0022965808261256e-06, 'reg_lambda': 5.4822936188161335e-06, 'gamma': 15.849894690607432}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:18,424] Trial 43 finished with value: -0.3082814209261281 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.001026047189931076, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0117212676782133e-06, 'reg_lambda': 5.414312517030215e-06, 'gamma': 22.512365984180253}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:19,151] Trial 44 finished with value: -0.30356269915764605 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0010106844290553617, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.2947661153785967e-06, 'reg_lambda': 5.616982292728077e-06, 'gamma': 14.830345203532303}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:19,883] Trial 45 finished with value: -0.30490624736870164 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 350, 'learning_rate': 0.0011461842895489295, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 1.063477960956348e-06, 'reg_lambda': 4.335083658912882e-06, 'gamma': 18.54287863064322}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:20,524] Trial 46 finished with value: -0.30449308663062397 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 350, 'learning_rate': 0.0014366797356885207, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0080621164450975e-06, 'reg_lambda': 0.0001217002649807598, 'gamma': 19.588777543427323}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:20,564] Trial 47 finished with value: -0.32399187160974635 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.00202071180887371, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 3.9497686225696714e-05, 'reg_lambda': 0.0001776389151152769, 'gamma': 28.127812011811493}. Best is trial 18 with value: -0.3335029433201794.
[I 2026-07-17 11:35:21,138] Trial 48 finished with value: -0.32025159984154483 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 250, 'learning_rate': 0.0009561558078434923, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.011220426943781841, 'reg_lambda': 0.00011940346962276607, 'gamma': 25.81370416865964}. Best is trial 18 with value: -0.3335029433201794.
