[I 2026-07-17 11:41:05,626] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:41:16,541] Trial 2 finished with value: -0.06268251577205185 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1100, 'learning_rate': 0.08747896751198848, 'max_depth': 11, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 4.5385715280250604e-05, 'reg_lambda': 0.002636966139287286, 'gamma': 0.5663794384135002}. Best is trial 2 with value: -0.06268251577205185.
[I 2026-07-17 11:41:17,236] Trial 0 finished with value: -0.0733236186932172 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.27366421733123547, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'reg_alpha': 45.20183645347781, 'reg_lambda': 1.7302718765503833, 'gamma': 0.011140723548318314}. Best is trial 0 with value: -0.0733236186932172.
[I 2026-07-17 11:41:24,475] Trial 1 finished with value: -0.06225017826418929 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.04410462002310403, 'max_depth': 4, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 7.699267206569191, 'reg_lambda': 0.00032941331737621637, 'gamma': 5.3190867609329694e-05}. Best is trial 0 with value: -0.0733236186932172.
[I 2026-07-17 11:41:35,659] Trial 4 finished with value: -0.06948702986244971 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.04582398624574382, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.001132304098727541, 'reg_lambda': 0.0012579166809977423, 'gamma': 0.010382296574884969}. Best is trial 0 with value: -0.0733236186932172.
[I 2026-07-17 11:41:37,920] Trial 3 finished with value: -0.06473101987776972 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 700, 'learning_rate': 0.00845433671781854, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 15.572415603938321, 'reg_lambda': 5.627097336879517e-06, 'gamma': 0.0001658703710116348}. Best is trial 0 with value: -0.0733236186932172.
[I 2026-07-17 11:41:41,181] Trial 5 finished with value: -0.07556833578858928 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2150, 'learning_rate': 0.41744126174950064, 'max_depth': 11, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 47.27864861213303, 'reg_lambda': 1.5184750761954156, 'gamma': 1.6564403517003312e-05}. Best is trial 5 with value: -0.07556833578858928.
[I 2026-07-17 11:41:51,502] Trial 6 finished with value: -0.06303403252512849 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.0714361353355217, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 0.22217717869995196, 'reg_lambda': 4.027888214055112e-05, 'gamma': 0.01858268402287953}. Best is trial 5 with value: -0.07556833578858928.
[I 2026-07-17 11:41:56,017] Trial 7 finished with value: -0.08063145179672344 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.02987904737226731, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 50.08744843010743, 'reg_lambda': 2.227212379258063e-05, 'gamma': 1.425289994726556e-06}. Best is trial 7 with value: -0.08063145179672344.
[I 2026-07-17 11:42:39,460] Trial 8 finished with value: -0.07416705771965862 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 2900, 'learning_rate': 0.000999805651000577, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 1.0, 'reg_alpha': 0.046318658895689604, 'reg_lambda': 10.419390130960156, 'gamma': 0.04166614102375754}. Best is trial 7 with value: -0.08063145179672344.
[I 2026-07-17 11:42:43,122] Trial 9 finished with value: -0.10677890448044004 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.0007262552307807362, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 5.30050588445078e-05, 'reg_lambda': 5.574188894501452e-05, 'gamma': 9.569801693070069}. Best is trial 9 with value: -0.10677890448044004.
[I 2026-07-17 11:42:46,449] Trial 10 finished with value: -0.10970137408682207 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 800, 'learning_rate': 0.000662255788718728, 'max_depth': 8, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 14.694434807462422, 'reg_lambda': 40.097520464848955, 'gamma': 6.5827641787802615e-06}. Best is trial 10 with value: -0.10970137408682207.
