[I 2026-07-17 11:44:56,468] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:45:29,727] Trial 0 finished with value: -0.6598771042980077 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2450, 'learning_rate': 0.003979242305779965, 'max_depth': 8, 'min_child_weight': 4, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 0.27535366356921026, 'reg_lambda': 0.025826799290825226, 'gamma': 9.681078200556212e-06}. Best is trial 0 with value: -0.6598771042980077.
[I 2026-07-17 11:45:32,681] Trial 1 finished with value: -0.7197831442411186 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1550, 'learning_rate': 0.023686029582749162, 'max_depth': 6, 'min_child_weight': 10, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.010576318537036387, 'reg_lambda': 0.0012188350743036762, 'gamma': 32.71473799612199}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:45:36,534] Trial 2 finished with value: -0.6425362595323757 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 950, 'learning_rate': 0.010342277764151473, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.7, 'reg_alpha': 0.00010738281125516497, 'reg_lambda': 0.02769138424075268, 'gamma': 4.4262948096225866e-06}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:45:36,800] Trial 3 finished with value: -0.6566925828292041 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 300, 'learning_rate': 0.25978766847684, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 1.0859475316138655e-06, 'reg_lambda': 3.9272418119110557, 'gamma': 2.8910275250084756}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:45:39,276] Trial 4 finished with value: -0.6876991229261291 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.37623350750849854, 'max_depth': 5, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 7.031692025313557e-06, 'reg_lambda': 1.787192005619902, 'gamma': 13.930668058061139}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:45:47,312] Trial 5 finished with value: -0.6628140699333697 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1000, 'learning_rate': 0.09580348257167551, 'max_depth': 11, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 0.36542015080682416, 'reg_lambda': 1.811750542408964e-05, 'gamma': 0.706972530413942}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:46:11,865] Trial 6 finished with value: -0.7181750892364714 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2200, 'learning_rate': 0.012544731085889318, 'max_depth': 10, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 0.0012259075428293843, 'reg_lambda': 8.515183666352758, 'gamma': 1.8783125892658499e-06}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:46:16,958] Trial 7 finished with value: -0.7026144620259716 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.024947891460059997, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.181287814262816, 'reg_lambda': 2.1989527339599878e-06, 'gamma': 22.604205636520078}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:46:23,764] Trial 8 finished with value: -0.6481319486863363 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1850, 'learning_rate': 0.010421839370474223, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 1.913270338508779e-06, 'reg_lambda': 0.006195181541265252, 'gamma': 0.03834405135804329}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:46:37,267] Trial 9 finished with value: -0.7161625367224111 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2350, 'learning_rate': 0.1332736175530388, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 1.598486232990314e-05, 'reg_lambda': 0.03400406517120608, 'gamma': 4.371902148745758e-05}. Best is trial 1 with value: -0.7197831442411186.
[I 2026-07-17 11:46:56,069] Trial 10 finished with value: -0.699221590283076 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2400, 'learning_rate': 0.031036744921728737, 'max_depth': 7, 'min_child_weight': 9, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 1.902425641129261e-05, 'reg_lambda': 0.009297693220695416, 'gamma': 0.0003569182119669748}. Best is trial 1 with value: -0.7197831442411186.
