[I 2026-07-17 11:47:12,344] A new study created in RDB with name: mult_quant_study_v2
[I 2026-07-17 11:47:21,887] Trial 2 finished with value: -1.3002858823494443 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1550, 'learning_rate': 0.0010391176927835911, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 2.238762985804459, 'reg_lambda': 0.009829375503946577, 'gamma': 1.7475598015418686e-06}. Best is trial 2 with value: -1.3002858823494443.
[I 2026-07-17 11:48:18,485] Trial 1 finished with value: -1.324709303081618 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.0021796079627628504, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 0.0007891740494134192, 'reg_lambda': 1.8250563163990274e-05, 'gamma': 1.2810687417354482e-05}. Best is trial 1 with value: -1.324709303081618.
[I 2026-07-17 11:48:24,199] Trial 0 finished with value: -1.427064883329106 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 500, 'learning_rate': 0.07323978364346229, 'max_depth': 10, 'min_child_weight': 8, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.7, 'reg_alpha': 8.105054603065673e-06, 'reg_lambda': 1.1414312820383141, 'gamma': 0.0003718093087114162}. Best is trial 0 with value: -1.427064883329106.
[I 2026-07-17 11:48:28,956] Trial 5 finished with value: -1.3891941184361007 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2900, 'learning_rate': 0.39473312259628457, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 27.222192989335138, 'reg_lambda': 1.115241032145967e-06, 'gamma': 0.10989059919980458}. Best is trial 0 with value: -1.427064883329106.
[I 2026-07-17 11:48:29,996] Trial 3 finished with value: -1.4179173545208612 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1050, 'learning_rate': 0.1825294562247895, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 57.51443653286732, 'reg_lambda': 0.0011315522639025691, 'gamma': 1.790947272281451}. Best is trial 0 with value: -1.427064883329106.
[I 2026-07-17 11:48:32,480] Trial 4 finished with value: -1.568795264810761 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1200, 'learning_rate': 0.0005704073848038465, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.8297757128913915, 'reg_lambda': 0.3072185764011376, 'gamma': 70.64106030944795}. Best is trial 4 with value: -1.568795264810761.
[I 2026-07-17 11:48:36,561] Trial 6 finished with value: -1.6061892256436263 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.39579887404888175, 'max_depth': 5, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 0.00023536176902085046, 'reg_lambda': 9.07242619689212e-06, 'gamma': 0.0078124762760439816}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:48:54,052] Trial 7 finished with value: -1.4405601959166212 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.0003002927859218978, 'max_depth': 9, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 6.023237727748235, 'reg_lambda': 0.12072179407820452, 'gamma': 0.0209721302869395}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:49:03,816] Trial 8 finished with value: -1.2577162058575597 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.0042882465497212415, 'max_depth': 5, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.0646831732867276e-05, 'reg_lambda': 0.00030788429614328407, 'gamma': 3.5570613274689054e-06}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:49:05,568] Trial 9 finished with value: -1.5175933687987218 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1200, 'learning_rate': 0.008255716960082062, 'max_depth': 9, 'min_child_weight': 10, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 0.001407564263953644, 'reg_lambda': 1.2856807769075858e-06, 'gamma': 32.65407496514895}. Best is trial 6 with value: -1.6061892256436263.
[I 2026-07-17 11:49:22,476] Trial 10 finished with value: -1.3916783397315688 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2750, 'learning_rate': 0.024270037445333483, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.0009427690201962807, 'reg_lambda': 0.05150990178809778, 'gamma': 0.02998359636808611}. Best is trial 6 with value: -1.6061892256436263.
