[I 2026-07-17 12:55:37,955] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 12:55:44,869] Trial 1 finished with value: -0.06478485203000842 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.00023829830401248493, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.8, 'reg_alpha': 2.4330846304547524, 'reg_lambda': 0.6233691261133109, 'gamma': 0.07592716302690367}. Best is trial 1 with value: -0.06478485203000842.
[I 2026-07-17 12:55:47,516] Trial 0 finished with value: -0.06535588871440196 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2400, 'learning_rate': 0.01463755213128932, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.003334124080764654, 'reg_lambda': 1.985435409408066e-06, 'gamma': 5.35416308640254}. Best is trial 0 with value: -0.06535588871440196.
[I 2026-07-17 12:55:48,054] Trial 3 finished with value: -0.06695549418914518 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.07361448775114869, 'max_depth': 10, 'min_child_weight': 9, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 6.648575536741024, 'reg_lambda': 3.7605236035000975, 'gamma': 1.7836177124829649e-06}. Best is trial 3 with value: -0.06695549418914518.
[I 2026-07-17 12:55:48,086] Trial 2 finished with value: -0.06535834622241798 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 100, 'learning_rate': 0.0071433583408197585, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.6, 'reg_alpha': 50.748946128906454, 'reg_lambda': 61.0848801894956, 'gamma': 2.331347730989088}. Best is trial 3 with value: -0.06695549418914518.
[I 2026-07-17 12:55:49,895] Trial 4 finished with value: -0.06536058299995835 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1350, 'learning_rate': 0.04004572022325388, 'max_depth': 12, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 53.19374565671679, 'reg_lambda': 0.3872313167556318, 'gamma': 34.922896601992306}. Best is trial 3 with value: -0.06695549418914518.
[I 2026-07-17 12:55:50,198] Trial 5 finished with value: -0.065359837689675 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.0003000607618815289, 'max_depth': 11, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.00014714598094748047, 'reg_lambda': 5.530468412516067, 'gamma': 0.6276485893599048}. Best is trial 3 with value: -0.06695549418914518.
[I 2026-07-17 12:55:53,287] Trial 6 finished with value: -0.06516771828998486 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1450, 'learning_rate': 0.009835950216564414, 'max_depth': 6, 'min_child_weight': 9, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 0.5385223459998428, 'reg_lambda': 20.009014713461227, 'gamma': 0.04029510166228928}. Best is trial 3 with value: -0.06695549418914518.
[I 2026-07-17 12:56:09,373] Trial 7 finished with value: -0.06510853832688657 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2350, 'learning_rate': 0.0001683179613350211, 'max_depth': 12, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 0.002048703031020756, 'reg_lambda': 0.03164681388624085, 'gamma': 1.6685126738572794e-06}. Best is trial 3 with value: -0.06695549418914518.
[I 2026-07-17 12:56:10,105] Trial 8 finished with value: -0.06489790622792871 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.004831670903137226, 'max_depth': 11, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.9, 'reg_alpha': 2.134257671696537, 'reg_lambda': 6.043708770669375, 'gamma': 0.19185310016479903}. Best is trial 3 with value: -0.06695549418914518.
[I 2026-07-17 12:56:16,441] Trial 9 finished with value: -0.06753006665971521 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1750, 'learning_rate': 0.004430095445631793, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 1.847537579420017e-05, 'reg_lambda': 1.1937839006514172e-05, 'gamma': 1.153249550004158e-05}. Best is trial 9 with value: -0.06753006665971521.
[I 2026-07-17 12:56:22,357] Trial 10 finished with value: -0.06473079000384402 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.00032025722071437257, 'max_depth': 6, 'min_child_weight': 8, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 1.0, 'reg_alpha': 0.012438129266568912, 'reg_lambda': 0.04110126941449446, 'gamma': 0.044529833057940206}. Best is trial 9 with value: -0.06753006665971521.
[I 2026-07-17 12:56:25,501] Trial 11 finished with value: -0.06535855715292535 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 3000, 'learning_rate': 0.0008972234347290736, 'max_depth': 9, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.19152339460926868, 'reg_lambda': 1.8099592024913374e-06, 'gamma': 40.52083582582359}. Best is trial 9 with value: -0.06753006665971521.
[I 2026-07-17 12:56:27,432] Trial 12 finished with value: -0.06535910525109424 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1450, 'learning_rate': 0.0005829322101474544, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 1.0, 'reg_alpha': 2.802204936891194, 'reg_lambda': 0.0006380306938600512, 'gamma': 7.076769250249803}. Best is trial 9 with value: -0.06753006665971521.
[I 2026-07-17 12:56:30,401] Trial 13 finished with value: -0.0653281170804417 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.054585116720818526, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 31.70164379459538, 'reg_lambda': 3.851436754984261e-06, 'gamma': 0.7041922721578723}. Best is trial 9 with value: -0.06753006665971521.
[I 2026-07-17 12:56:31,548] Trial 14 finished with value: -0.06488679982132142 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 900, 'learning_rate': 0.07194150755859156, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.04456246824569366, 'reg_lambda': 0.0017658859413155527, 'gamma': 0.40004905908739885}. Best is trial 9 with value: -0.06753006665971521.
[I 2026-07-17 12:56:32,825] Trial 15 finished with value: -0.0653581672618705 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1300, 'learning_rate': 0.0003659563046537676, 'max_depth': 11, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.010498199035708578, 'reg_lambda': 0.5169942262988892, 'gamma': 10.567192830211894}. Best is trial 9 with value: -0.06753006665971521.
[I 2026-07-17 12:56:35,320] Trial 16 finished with value: -0.06507386592298708 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 700, 'learning_rate': 0.00023547333363041451, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 2.436260571750922e-06, 'reg_lambda': 0.000280039178006425, 'gamma': 2.31572298181673e-06}. Best is trial 9 with value: -0.06753006665971521.
[I 2026-07-17 12:56:40,182] Trial 17 finished with value: -0.11408519124335309 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 3000, 'learning_rate': 0.36584292443284694, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 2.5294714798371803e-06, 'reg_lambda': 1.1646665138223712e-06, 'gamma': 0.00045732427664342974}. Best is trial 17 with value: -0.11408519124335309.
