[I 2026-07-17 14:06:46,786] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 14:06:58,231] Trial 2 finished with value: -0.06355102067376614 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2950, 'learning_rate': 0.0075993019026176205, 'max_depth': 7, 'min_child_weight': 4, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 1.5832795021592758, 'reg_lambda': 4.282314831961323, 'gamma': 0.029522964636426684}. Best is trial 2 with value: -0.06355102067376614.
[I 2026-07-17 14:07:16,717] Trial 1 finished with value: -0.05643937950377878 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1800, 'learning_rate': 0.0007002218387335004, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 1.1390268739535365, 'reg_lambda': 0.00034127431904129406, 'gamma': 0.00023748096586025875}. Best is trial 2 with value: -0.06355102067376614.
[I 2026-07-17 14:07:21,505] Trial 0 finished with value: -0.0732793408669586 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 1500, 'learning_rate': 0.020735567008748613, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 0.022082178084701403, 'reg_lambda': 0.0014276458610031476, 'gamma': 0.027262767789605426}. Best is trial 0 with value: -0.0732793408669586.
[I 2026-07-17 14:07:24,456] Trial 5 finished with value: -0.0554055246981554 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2750, 'learning_rate': 0.00037729520130329005, 'max_depth': 4, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 0.0014226647091608348, 'reg_lambda': 0.05208731612684696, 'gamma': 6.931927678319796}. Best is trial 0 with value: -0.0732793408669586.
[I 2026-07-17 14:07:27,916] Trial 3 finished with value: -0.05542305820635789 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2850, 'learning_rate': 0.00020431894520779223, 'max_depth': 7, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.8, 'reg_alpha': 54.40880001314286, 'reg_lambda': 0.00044439593930412785, 'gamma': 7.2465744428348006e-06}. Best is trial 0 with value: -0.0732793408669586.
[I 2026-07-17 14:07:28,515] Trial 4 finished with value: -0.05539477631766922 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 550, 'learning_rate': 0.04509261360414505, 'max_depth': 7, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 5.023042051279777e-06, 'reg_lambda': 1.3186105454916194e-06, 'gamma': 0.24288441431179494}. Best is trial 0 with value: -0.0732793408669586.
[I 2026-07-17 14:07:30,560] Trial 6 finished with value: -0.05539140818095594 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2000, 'learning_rate': 0.004550701660693902, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.5, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.9, 'reg_alpha': 90.07620453539181, 'reg_lambda': 7.908174744284932e-05, 'gamma': 0.1917482173368818}. Best is trial 0 with value: -0.0732793408669586.
[I 2026-07-17 14:07:32,649] Trial 7 finished with value: -0.05547800527290309 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1750, 'learning_rate': 0.258715677978671, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.8, 'reg_alpha': 0.07937296132345115, 'reg_lambda': 3.527168930336508, 'gamma': 0.7140638393447182}. Best is trial 0 with value: -0.0732793408669586.
[I 2026-07-17 14:07:35,185] Trial 8 finished with value: -0.05520723379374115 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1600, 'learning_rate': 0.000651005763745503, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 1.019667224701338, 'reg_lambda': 4.633930317665246, 'gamma': 0.00034997813872892383}. Best is trial 0 with value: -0.0732793408669586.
[I 2026-07-17 14:07:35,490] Trial 9 finished with value: -0.055417204583569704 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 400, 'learning_rate': 0.0006340650511972943, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.7, 'reg_alpha': 1.6175961057864567e-05, 'reg_lambda': 1.4050928364404478, 'gamma': 5.431667514346798}. Best is trial 0 with value: -0.0732793408669586.
[I 2026-07-17 14:07:44,444] Trial 10 finished with value: -0.055618017834871 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2800, 'learning_rate': 0.0007635133714515899, 'max_depth': 7, 'min_child_weight': 10, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 3.2229585484561644e-06, 'reg_lambda': 2.2298225284544593, 'gamma': 0.06339861320625222}. Best is trial 0 with value: -0.0732793408669586.
