[I 2026-07-17 15:31:05,460] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:31:11,010] Trial 0 finished with value: -0.05264953791980369 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1950, 'learning_rate': 0.0018539949171481934, 'max_depth': 4, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.6, 'reg_alpha': 0.002628405564007261, 'reg_lambda': 2.5886476071740558e-05, 'gamma': 9.075380569252577}. Best is trial 0 with value: -0.05264953791980369.
[I 2026-07-17 15:31:27,564] Trial 1 finished with value: -0.09104063641292433 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.03390969458056356, 'max_depth': 10, 'min_child_weight': 2, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.6, 'reg_alpha': 0.013695616741459223, 'reg_lambda': 2.9585433595780968, 'gamma': 0.0051009785186509156}. Best is trial 1 with value: -0.09104063641292433.
[I 2026-07-17 15:31:28,446] Trial 2 finished with value: -0.05229907467410955 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 150, 'learning_rate': 0.011512804787170513, 'max_depth': 8, 'min_child_weight': 7, 'subsample': 0.6, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 3.2826848543880743e-06, 'reg_lambda': 0.492053191665398, 'gamma': 0.00022506425687020363}. Best is trial 1 with value: -0.09104063641292433.
[I 2026-07-17 15:31:46,816] Trial 3 finished with value: -0.052408392176832255 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2650, 'learning_rate': 0.00012084118091735113, 'max_depth': 11, 'min_child_weight': 5, 'subsample': 0.5, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.7, 'reg_alpha': 0.01171802192847402, 'reg_lambda': 0.4328891229911909, 'gamma': 0.00023249727985716245}. Best is trial 1 with value: -0.09104063641292433.
[I 2026-07-17 15:32:11,205] Trial 4 finished with value: -0.07875962029710894 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2550, 'learning_rate': 0.005984845990167553, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 6.904765222016866e-06, 'reg_lambda': 5.915599666822066, 'gamma': 0.035999389478633494}. Best is trial 1 with value: -0.09104063641292433.
[I 2026-07-17 15:32:14,259] Trial 5 finished with value: -0.08050808149400586 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 650, 'learning_rate': 0.12066681297219568, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.09467035386243501, 'reg_lambda': 96.90518548155248, 'gamma': 0.001388090753824318}. Best is trial 1 with value: -0.09104063641292433.
[I 2026-07-17 15:32:18,704] Trial 6 finished with value: -0.05939955873078716 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1900, 'learning_rate': 0.11796439091118592, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.5, 'reg_alpha': 8.639578467785313, 'reg_lambda': 1.1470083286992478e-06, 'gamma': 3.5889213600664725e-05}. Best is trial 1 with value: -0.09104063641292433.
[I 2026-07-17 15:32:19,146] Trial 7 finished with value: -0.09787380976281936 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 200, 'learning_rate': 0.461578386162927, 'max_depth': 9, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.6, 'reg_alpha': 0.01186472082309, 'reg_lambda': 0.0005221442477591458, 'gamma': 0.00014251451506608172}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:32:31,542] Trial 8 finished with value: -0.061943891180560054 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2500, 'learning_rate': 0.007298409801208197, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.0016984912649845403, 'reg_lambda': 0.00045816553997081005, 'gamma': 0.0009126067430594755}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:32:56,986] Trial 9 finished with value: -0.05235166618627412 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2700, 'learning_rate': 0.00012647230322211309, 'max_depth': 12, 'min_child_weight': 6, 'subsample': 1.0, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.6, 'reg_alpha': 0.3705516948038473, 'reg_lambda': 3.931883884395915e-06, 'gamma': 0.013451011407948268}. Best is trial 7 with value: -0.09787380976281936.
[I 2026-07-17 15:32:58,457] Trial 10 finished with value: -0.05197781992709304 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 300, 'learning_rate': 0.0013701395699580211, 'max_depth': 8, 'min_child_weight': 9, 'subsample': 0.8, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.006841630307873092, 'reg_lambda': 0.00010778865038442902, 'gamma': 0.0014733641340919416}. Best is trial 7 with value: -0.09787380976281936.
