[I 2026-07-17 15:49:23,814] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 15:49:30,862] Trial 1 finished with value: -0.24611462150399338 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2100, 'learning_rate': 0.055459242440888436, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.5, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 15.454734843902138, 'reg_lambda': 0.023123519412631452, 'gamma': 11.266647959523072}. Best is trial 1 with value: -0.24611462150399338.
[I 2026-07-17 15:49:32,492] Trial 0 finished with value: -0.24593532353728656 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1650, 'learning_rate': 0.044819919678992404, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.5, 'reg_alpha': 13.795058512919091, 'reg_lambda': 9.797126739618799, 'gamma': 7.5754205773171694}. Best is trial 1 with value: -0.24611462150399338.
[I 2026-07-17 15:49:35,109] Trial 2 finished with value: -0.2459627452453315 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 1950, 'learning_rate': 0.0025051628291214998, 'max_depth': 12, 'min_child_weight': 7, 'subsample': 0.9, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.030357348401065843, 'reg_lambda': 6.583709981886235e-05, 'gamma': 1.5677853850874064}. Best is trial 1 with value: -0.24611462150399338.
[I 2026-07-17 15:49:38,108] Trial 3 finished with value: -0.24398882508225242 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 1700, 'learning_rate': 0.00011805376295048194, 'max_depth': 3, 'min_child_weight': 4, 'subsample': 0.8, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.5, 'reg_alpha': 7.75674778220673e-06, 'reg_lambda': 0.06732959455457287, 'gamma': 4.511795201315781e-06}. Best is trial 1 with value: -0.24611462150399338.
[I 2026-07-17 15:49:41,190] Trial 4 finished with value: -0.24590194194037326 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2550, 'learning_rate': 0.015903217320960956, 'max_depth': 8, 'min_child_weight': 10, 'subsample': 0.8, 'colsample_bytree': 0.7, 'colsample_bylevel': 1.0, 'reg_alpha': 0.0003634836753455606, 'reg_lambda': 11.17885724839598, 'gamma': 35.77804866124896}. Best is trial 1 with value: -0.24611462150399338.
[I 2026-07-17 15:49:43,505] Trial 5 finished with value: -0.2426035616335915 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1800, 'learning_rate': 0.05718826741204777, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 1.0, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 0.003078597947539491, 'reg_lambda': 0.00034823441008025014, 'gamma': 0.3739196507062904}. Best is trial 1 with value: -0.24611462150399338.
[I 2026-07-17 15:49:46,645] Trial 6 finished with value: -0.43558590746324133 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 1300, 'learning_rate': 0.4883362236848219, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00030099423541082995, 'reg_lambda': 7.735623971338412e-06, 'gamma': 0.0009929611008477964}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:49:47,423] Trial 7 finished with value: -0.24596821553415832 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 650, 'learning_rate': 0.0169637437364195, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.7, 'colsample_bytree': 0.6, 'colsample_bylevel': 0.9, 'reg_alpha': 38.98680291228828, 'reg_lambda': 2.2238889541929024e-06, 'gamma': 0.04414354471110143}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:49:49,899] Trial 8 finished with value: -0.24596323892198435 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'median', 'n_estimators': 2100, 'learning_rate': 0.0010160379475172086, 'max_depth': 10, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.9, 'colsample_bylevel': 0.9, 'reg_alpha': 1.7705116187628453e-06, 'reg_lambda': 0.009722792784186874, 'gamma': 70.58225658559414}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:49:52,516] Trial 9 finished with value: -0.24598260331300753 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 2250, 'learning_rate': 0.09876994160297414, 'max_depth': 6, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.9, 'reg_alpha': 0.00018568060637729579, 'reg_lambda': 0.00021302469482803132, 'gamma': 67.14201189199703}. Best is trial 6 with value: -0.43558590746324133.
[I 2026-07-17 15:49:53,915] Trial 10 finished with value: -0.24582831752391807 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1250, 'learning_rate': 0.05544681416987086, 'max_depth': 5, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.8, 'reg_alpha': 0.03838778406921304, 'reg_lambda': 0.0002728326809450535, 'gamma': 9.047738234593396}. Best is trial 6 with value: -0.43558590746324133.
