[I 2026-07-17 16:05:21,664] A new study created in RDB with name: residual_study_v2
[I 2026-07-17 16:05:25,687] Trial 0 finished with value: -0.542270531864452 and parameters: {'scalers': 'none', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 100, 'learning_rate': 0.0005072303497272425, 'max_depth': 10, 'min_child_weight': 4, 'subsample': 0.7, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.5, 'reg_alpha': 0.15816535765812537, 'reg_lambda': 2.372045735939373e-05, 'gamma': 0.00028479281247948427}. Best is trial 0 with value: -0.542270531864452.
[I 2026-07-17 16:05:33,339] Trial 1 finished with value: -0.6582294522540417 and parameters: {'scalers': 'standard', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 2000, 'learning_rate': 0.01174284704010651, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.6, 'reg_alpha': 0.004755192383547062, 'reg_lambda': 0.0003178768947336814, 'gamma': 7.20973185268586e-06}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:34,208] Trial 2 finished with value: -0.5306239046367032 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.003272474682253394, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 20.97419450268973, 'reg_lambda': 16.08276275165664, 'gamma': 1.3183693103593271e-05}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:36,160] Trial 3 finished with value: -0.5449460521478625 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.08370941859910655, 'max_depth': 12, 'min_child_weight': 8, 'subsample': 0.9, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 9.17487688096586, 'reg_lambda': 0.003103896894934727, 'gamma': 8.555348288288593}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:36,686] Trial 4 finished with value: -0.5450230004363738 and parameters: {'scalers': 'robust', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 450, 'learning_rate': 0.06835728354999913, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.7, 'reg_alpha': 55.742246512047096, 'reg_lambda': 0.27115753274586746, 'gamma': 3.1894583898103415}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:42,986] Trial 5 finished with value: -0.5137532993160315 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 1700, 'learning_rate': 0.0013718291761670124, 'max_depth': 6, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.7, 'colsample_bylevel': 0.8, 'reg_alpha': 2.6232499092631717e-06, 'reg_lambda': 8.751104944707291e-05, 'gamma': 0.0004747683775681786}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:45,856] Trial 6 finished with value: -0.5184560708802869 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'mean', 'n_estimators': 2050, 'learning_rate': 0.00044819619725047555, 'max_depth': 10, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.5, 'reg_alpha': 6.498971940659421, 'reg_lambda': 2.3412995876913256, 'gamma': 0.12304972125387426}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:51,483] Trial 7 finished with value: -0.5061043458191132 and parameters: {'scalers': 'robust', 'ratios': 'norm_ratio', 'imputers': 'none', 'n_estimators': 1600, 'learning_rate': 0.0009641045178621594, 'max_depth': 6, 'min_child_weight': 7, 'subsample': 0.8, 'colsample_bytree': 0.8, 'colsample_bylevel': 0.5, 'reg_alpha': 1.1067480502104214e-06, 'reg_lambda': 0.0031889397473450084, 'gamma': 0.00023889550899471487}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:55,790] Trial 8 finished with value: -0.5472610249713302 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'none', 'n_estimators': 750, 'learning_rate': 0.005540498151318787, 'max_depth': 9, 'min_child_weight': 8, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 1.0, 'reg_alpha': 0.009632974154066928, 'reg_lambda': 6.2559991129552746, 'gamma': 1.1153043614763059e-06}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:58,298] Trial 9 finished with value: -0.5448024749717828 and parameters: {'scalers': 'standard', 'ratios': 'norm_ratio', 'imputers': 'mean', 'n_estimators': 2550, 'learning_rate': 0.0003653472900054608, 'max_depth': 4, 'min_child_weight': 9, 'subsample': 0.6, 'colsample_bytree': 0.5, 'colsample_bylevel': 0.7, 'reg_alpha': 0.023417062334595663, 'reg_lambda': 3.3524088823886582e-06, 'gamma': 3.8510219157073253}. Best is trial 1 with value: -0.6582294522540417.
[I 2026-07-17 16:05:59,377] Trial 10 finished with value: -0.544988223506995 and parameters: {'scalers': 'none', 'ratios': 'log_ratio', 'imputers': 'median', 'n_estimators': 850, 'learning_rate': 0.015288723852156252, 'max_depth': 6, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 1.0, 'colsample_bylevel': 0.8, 'reg_alpha': 0.002023241823589032, 'reg_lambda': 9.617615500581276e-05, 'gamma': 8.503995446383309}. Best is trial 1 with value: -0.6582294522540417.
