RESP,log,CV_score,test_score,test_r2,model_type,
L_BOL,TRUE,0.4231,0.4171,0.9667,Catboost,
DIAM,TRUE,0.2661,0.2571,0.8924,Catboost,
MASS,TRUE,0.2899,0.2901,0.9779,Catboost,
TEMP,FALSE,1.3051,1.6125,0.8871,XGBoost,Catboost better on test set
T_BOL,FALSE,8.4982,9.0343,0.4154,Catboost,
SURF_DENS,TRUE,0.5398,0.5385,0.8389,Catboost,
LM,TRUE,0.4639,0.4742,0.8859,Catboost,
L_RATIO,TRUE,0.8751,0.8607,0.5035,XGBoost,Catboost better on test set
,,,,,,
,,,,,,
Big models:,,,,,,
Response,Model,RMSE,,Response,Model,R^2
L_BOL,Catboost,0.4171,,L_BOL,Catboost,0.9667
DIAM,Catboost,0.2571,,DIAM,Catboost,0.8924
MASS,Catboost,0.2901,,MASS,Catboost,0.9779
TEMP,Catboost,1.6125,,TEMP,Catboost,0.8871
T_BOL,Catboost,9.0343,,T_BOL,Catboost,0.4154
SURF_DENS,Catboost,0.5385,,SURF_DENS,Catboost,0.8389
LM,Catboost,0.4742,,LM,Catboost,0.8859
L_RATIO,Catboost,0.8607,,L_RATIO,Catboost,0.5035
,,,,,,
Small Models:,,,,,,
Response,Model,RMSE,,Response,Model,R^2
L_BOL,XGBoost,0.626,,L_BOL,XGBoost,0.925
DIAM,XGBoost,0.338,,DIAM,XGBoost,0.814
MASS,XGBoost,1.01,,MASS,XGBoost,0.732
TEMP,Catboost,3.792,,TEMP,Catboost,0.375
T_BOL,XGBoost,9.4,,T_BOL,XGBoost,0.366
SURF_DENS,XGBoost,0.925,,SURF_DENS,XGBoost,0.524
LM,XGBoost,1.06,,LM,XGBoost,0.427
L_RATIO,XGBoost,1.02,,L_RATIO,XGBoost,0.3
,,,,,,
"Additional note: when comparing the best CV rmse to the test score, there is a much smaller change (like, basically no overfitting) in the small models when compared to those will all of the 10 fluxes",,,,,,
