RESP,log_scale,model_fluxes,CV_rmse,test_rmse,test_r2,model_type
L_BOL,TRUE,all,0.4231,0.4171,0.9667,Catboost
L_BOL,TRUE,MIRION,0.589,0.626,0.925,XGBoost
DIAM,TRUE,all,0.2661,0.2571,0.8924,Catboost
DIAM,TRUE,MIRION,0.342,0.338,0.814,XGBoost
MASS,TRUE,all,0.2899,0.2901,0.9779,Catboost
MASS,TRUE,MIRION,1.025,1.01,0.732,XGBoost
TEMP,FALSE,all,1.3051,1.6125,0.8871,XGBoost
TEMP,FALSE,MIRION,3.754,3.792,0.375,Catboost
T_BOL,FALSE,all,8.4982,9.0343,0.4154,Catboost
T_BOL,FALSE,MIRION,9.33,9.4,0.366,XGBoost
SURF_DENS,TRUE,all,0.5398,0.5385,0.8389,Catboost
SURF_DENS,TRUE,MIRION,0.926,0.925,0.524,XGBoost
LM,TRUE,all,0.4639,0.4742,0.8859,Catboost
LM,TRUE,MIRION,1.066,1.06,0.427,XGBoost
L_RATIO,TRUE,all,0.8751,0.8607,0.5035,XGBoost
L_RATIO,TRUE,MIRION,1.03,1.02,0.3,XGBoost
