iter	Passed	Remaining
0	18	54840
1	30	45090
2	41	41301
3	52	39479
4	63	38054
5	73	36678
6	83	35519
7	94	35385
8	105	35025
9	115	34597
10	126	34386
11	137	34153
12	148	34191
13	159	34122
14	170	33897
15	180	33651
16	190	33403
17	200	33183
18	210	33020
19	220	32823
20	230	32676
21	241	32667
22	252	32673
23	262	32509
24	273	32599
25	285	32707
26	296	32599
27	308	32718
28	318	32662
29	330	32713
30	341	32729
31	353	32811
32	364	32797
33	376	32834
34	386	32759
35	398	32784
36	409	32814
37	419	32717
38	431	32772
39	442	32734
40	454	32787
41	465	32751
42	477	32837
43	487	32749
44	499	32781
45	511	32839
46	521	32776
47	532	32739
48	544	32803
49	555	32767
50	566	32777
51	579	32839
52	590	32815
53	602	32891
54	613	32854
55	624	32835
56	635	32804
57	647	32823
58	658	32809
59	669	32820
60	681	32834
61	692	32826
62	704	32819
63	714	32777
64	725	32767
65	737	32779
66	747	32715
67	758	32684
68	770	32724
69	780	32687
70	791	32641
71	802	32645
72	814	32673
73	826	32686
74	838	32717
75	850	32711
76	861	32703
77	871	32656
78	882	32628
79	893	32627
80	904	32590
81	915	32594
82	927	32582
83	939	32627
84	951	32626
85	963	32635
86	973	32605
87	984	32578
88	995	32568
89	1008	32604
90	1020	32615
91	1032	32649
92	1049	32790
93	1059	32767
94	1072	32782
95	1083	32786
96	1096	32819
97	1105	32740
98	1115	32689
99	1126	32667
100	1137	32659
101	1149	32650
102	1160	32641
103	1171	32632
104	1182	32607
105	1194	32611
106	1206	32609
107	1218	32623
108	1229	32604
109	1241	32606
110	1251	32571
111	1262	32553
112	1272	32517
113	1283	32480
114	1293	32437
115	1304	32427
116	1315	32407
117	1326	32392
118	1337	32389
119	1347	32342
120	1358	32314
121	1369	32312
122	1380	32293
123	1391	32281
124	1401	32240
125	1413	32244
126	1426	32266
127	1436	32235
128	1447	32224
129	1458	32199
130	1469	32176
131	1480	32171
132	1491	32145
133	1503	32149
134	1514	32140
135	1524	32113
136	1535	32089
137	1547	32085
138	1558	32072
139	1570	32077
140	1582	32078
141	1591	32032
142	1603	32033
143	1614	32023
144	1623	31970
145	1634	31955
146	1645	31931
147	1656	31915
148	1667	31912
149	1680	31927
150	1690	31901
151	1701	31885
152	1712	31859
153	1723	31851
154	1736	31866
155	1746	31842
156	1758	31839
157	1768	31810
158	1779	31790
159	1791	31793
160	1802	31781
161	1813	31778
162	1825	31776
163	1836	31752
164	1847	31739
165	1858	31721
166	1869	31716
167	1880	31706
168	1891	31681
169	1902	31668
170	1914	31667
171	1927	31686
172	1938	31682
173	1950	31676
174	1961	31671
175	1973	31662
176	1984	31653
177	1996	31646
178	2006	31621
179	2015	31583
180	2025	31551
181	2037	31541
182	2048	31528
183	2058	31507
184	2068	31477
185	2079	31458
186	2090	31444
187	2099	31406
188	2110	31384
189	2121	31373
190	2131	31347
191	2143	31354
192	2154	31339
193	2165	31322
194	2177	31321
195	2188	31303
196	2199	31292
197	2211	31293
198	2222	31281
199	2233	31268
200	2242	31233
201	2252	31205
202	2264	31201
203	2276	31206
204	2287	31192
205	2298	31178
206	2309	31168
207	2321	31156
208	2333	31155
209	2345	31155
210	2356	31147
211	2368	31141
212	2378	31124
213	2387	31083
214	2399	31076
215	2410	31072
216	2420	31039
217	2430	31011
218	2442	31015
219	2452	30991
220	2464	30989
221	2476	30984
222	2485	30951
223	2497	30946
224	2509	30953
225	2522	30962
226	2534	30955
227	2545	30946
228	2556	30931
229	2566	30912
230	2579	30924
231	2590	30908
232	2601	30899
233	2613	30888
234	2622	30853
235	2631	30821
236	2642	30806
237	2653	30789
238	2664	30779
239	2675	30773
240	2687	30762
241	2697	30740
242	2708	30728
243	2719	30715
244	2728	30686
245	2743	30712
246	2754	30696
247	2765	30686
248	2775	30663
249	2785	30639
250	2797	30636
251	2810	30644
252	2820	30629
253	2832	30618
254	2843	30611
255	2855	30605
256	2867	30610
257	2880	30611
258	2891	30596
259	2904	30608
260	2915	30596
261	2926	30582
262	2938	30578
263	2949	30563
264	2960	30557
265	2971	30542
266	2981	30523
267	2992	30505
268	3004	30498
269	3015	30488
270	3026	30480
271	3038	30475
272	3048	30450
273	3059	30434
274	3067	30400
275	3078	30380
276	3088	30359
277	3100	30355
278	3111	30344
279	3122	30334
280	3133	30317
