iter	RMSE
0	1.946150629
1	1.925779061
2	1.904654238
3	1.88502475
4	1.866491189
5	1.847396799
6	1.829946066
7	1.810886535
8	1.792373798
9	1.775841595
10	1.759539867
11	1.743168044
12	1.725266982
13	1.707669089
14	1.691960568
15	1.677175099
16	1.662677305
17	1.645827367
18	1.628066329
19	1.614205532
20	1.598326326
21	1.584095707
22	1.57111226
23	1.555765982
24	1.542572512
25	1.529403554
26	1.515716889
27	1.501283464
28	1.487867053
29	1.474963735
30	1.463484944
31	1.450440855
32	1.437565512
33	1.424314865
34	1.413089023
35	1.402314228
36	1.391329378
37	1.378690817
38	1.365644451
39	1.352429009
40	1.341489057
41	1.330829458
42	1.319698988
43	1.309176374
44	1.297557861
45	1.287275284
46	1.275107033
47	1.262030666
48	1.252929743
49	1.245600349
50	1.234173623
51	1.224316041
52	1.216892253
53	1.208522393
54	1.200305362
55	1.193083864
56	1.186442375
57	1.175275814
58	1.166054268
59	1.15574111
60	1.144409878
61	1.132607241
62	1.122871497
63	1.115861735
64	1.108329778
65	1.101265791
66	1.090053986
67	1.080315298
68	1.073717178
69	1.066036174
70	1.057595233
71	1.05005009
72	1.04211516
73	1.033906283
74	1.025349578
75	1.019631606
76	1.013205821
77	1.006077735
78	1.000568121
79	0.9928621502
80	0.9835782893
81	0.9750755212
82	0.9694191808
83	0.9633971434
84	0.9564680517
85	0.9479572058
86	0.9414058554
87	0.9346541196
88	0.9269940624
89	0.9207238713
90	0.9138236877
91	0.9078499886
92	0.9019422245
93	0.8950526079
94	0.8884175517
95	0.8812732416
96	0.8751104308
97	0.8696711295
98	0.8644219665
99	0.8576139819
100	0.8517578455
101	0.8465389741
102	0.8394446484
103	0.8342749418
104	0.8281671551
105	0.823797977
106	0.8188483169
107	0.8128127009
108	0.8078860428
109	0.8038132433
110	0.7988019334
111	0.7952205553
112	0.7904493123
113	0.7863183909
114	0.780616291
115	0.7775471699
116	0.7734053531
117	0.7689152307
118	0.7650781443
119	0.7603528747
120	0.7558228306
121	0.7526175089
122	0.7474610078
123	0.7426018504
124	0.7383940185
125	0.7340243218
126	0.729647888
127	0.7256661813
128	0.7218960007
129	0.7186367331
130	0.7146645611
131	0.7110259463
132	0.7070010956
133	0.7032396456
134	0.6994972981
135	0.695750521
136	0.6919044144
137	0.6880619895
138	0.6852477727
139	0.6817376014
140	0.6783923648
141	0.6748245425
142	0.6714516025
143	0.6676261283
144	0.6638472879
145	0.6608226281
146	0.6581850817
147	0.6539582311
148	0.6509729171
149	0.6477654256
150	0.6447677744
151	0.6417013003
152	0.6385647588
153	0.63589507
154	0.6326737647
155	0.6290336725
156	0.625889051
157	0.623064272
158	0.6208255677
159	0.6186067245
160	0.6163305412
161	0.6130572487
162	0.6109312688
163	0.6083632996
164	0.6050716634
165	0.6032640041
166	0.5997368472
167	0.5961985319
168	0.5940150908
169	0.5910164815
170	0.5887786937
171	0.5862023261
172	0.5841042616
173	0.5815939106
174	0.5784307428
175	0.5756506059
176	0.5735663971
177	0.5710321432
178	0.5690250088
179	0.5664055361
180	0.5645383114
181	0.5616499468
182	0.5593248739
183	0.5574835098
184	0.555482901
185	0.5539373406
186	0.5526193241
187	0.549926032
188	0.5477693508
189	0.5460505309
190	0.5438372009
191	0.5417509198
192	0.5405745534
193	0.5385900753
194	0.5365386065
195	0.5347966405
196	0.5335004098
197	0.5320220345
198	0.5298673961
199	0.5287215746
200	0.5270323191
201	0.5250651736
202	0.5227265518
203	0.5205743077
204	0.5187778914
205	0.5172808488
206	0.5158032042
207	0.5136921952
208	0.5120988332
209	0.5102239289
210	0.5083438712
211	0.5065549368
212	0.5045605031
213	0.5028518934
214	0.5012127077
215	0.5000717594
216	0.4977020672
217	0.4954556377
218	0.4939866384
219	0.4929230363
220	0.4914744283
221	0.4900315009
222	0.4882333362
223	0.4868599095
224	0.4857179325
225	0.4838362457
226	0.4824606785
227	0.4816195449
228	0.4807150369
229	0.4792647555
230	0.477538662
231	0.4761415865
232	0.4749165503
233	0.4735391868
234	0.4725318811
235	0.4706361449
236	0.4697384302
237	0.4690509845
238	0.4679018275
239	0.4671855705
240	0.4657616669
241	0.4646978269
242	0.4634582378
243	0.4619780337
244	0.4604601983
245	0.4596474013
246	0.4586540436
247	0.4572656611
248	0.4559165674
249	0.4551798213
250	0.4539397996
251	0.4527328555
252	0.4519720381
253	0.4506351101
254	0.4492869713
255	0.4479727569
256	0.4470416099
257	0.4455517798
258	0.4440611007
259	0.4431701691
260	0.4416639156
261	0.4409211497
262	0.4402275134
263	0.4390499
264	0.4384823154
265	0.4372824439
266	0.4364456987
267	0.4354203012
268	0.4345532363
269	0.4339544594
270	0.433333335
271	0.4320182554
272	0.4311954674
273	0.4302856099
274	0.4296020767
275	0.4282631637
276	0.4276195963
277	0.4265909966
278	0.4257691717
279	0.4245492763
280	0.4237732457
281	0.4227417252
282	0.4218724537
283	0.4211422093
284	0.4204212775
285	0.4195946288
286	0.4187382134
287	0.4179115509
288	0.4172875344
289	0.4165166664
290	0.4160318198
291	0.414940109
292	0.4137107069
293	0.4128364529
294	0.4118092401
295	0.4108861911
296	0.4102255781
297	0.4096733677
298	0.4084281821
299	0.4077741249
300	0.4069883388
301	0.4065091013
302	0.4058552073
303	0.4054242817
304	0.404676969
305	0.4041509641
306	0.403639896
307	0.4030352684
308	0.402603624
309	0.401823968
310	0.4014897925
311	0.4010030528
312	0.4005589722
313	0.4001456806
314	0.3995121654
315	0.3987401608
316	0.3983141234
317	0.3977630737
318	0.3973810813
319	0.3970628039
320	0.3963931864
321	0.3956617649
322	0.3950891971
323	0.3943771845
324	0.3937760403
325	0.3932830924
326	0.3925903631
327	0.3920438802
328	0.3914858838
329	0.3910693547
330	0.3905271287
331	0.389709316
332	0.3891871419
333	0.3886140784
334	0.3878601558
335	0.3870549361
336	0.3862780678
337	0.3856254138
338	0.3854029698
339	0.3848185104
340	0.3842745044
341	0.383578779
342	0.383046207
343	0.3825560658
344	0.3821311977
345	0.3813087424
346	0.3808338826
347	0.3803189364
348	0.3800154571
349	0.3794889879
350	0.3789452204
351	0.3785430553
352	0.3780371786
353	0.3775392716
354	0.3767019389
355	0.3761243228
356	0.3756462944
357	0.3750485481
358	0.374687788
359	0.3743665551
360	0.3738381969
361	0.3734126965
362	0.3730660254
363	0.3726396165
364	0.3719844701
365	0.3712024251
366	0.3707886405
367	0.3702122828
368	0.3697946113
369	0.3690824536
370	0.3685874665
371	0.3681406989
372	0.3677928969
373	0.3671129567
374	0.3665753972
375	0.3660602486
376	0.3658598986
377	0.3654069645
378	0.3649179073
379	0.3644383452
380	0.3640559357
381	0.3635618186
382	0.3629885753
383	0.3624676003
384	0.3620862746
385	0.361507209
386	0.3610061141
387	0.360757752
388	0.3604465806
389	0.3598984768
390	0.3593316056
391	0.3588183041
392	0.3583487904
393	0.3578784946
394	0.357575599
395	0.3572434485
396	0.3568085365
397	0.3564297917
398	0.3560450156
399	0.3556975364
400	0.3552668549
401	0.3547682499
402	0.3543041959
403	0.3539584775
404	0.3535208246
405	0.3529575469
406	0.3525444726
407	0.3521361727
408	0.351625231
409	0.3511963787
410	0.3507284735
411	0.3503570136
412	0.3499315189
413	0.3495001103
414	0.349058528
415	0.3488211831
416	0.3483650564
417	0.3478999962
418	0.3473857172
419	0.3468812085
420	0.3465060319
421	0.3460814587
422	0.3454547308
423	0.344990927
424	0.3446887452
425	0.3443158884
426	0.3438575096
427	0.3433754352
428	0.3430259283
429	0.3424840909
430	0.3420502526
431	0.3417296465
432	0.3413866702
433	0.3408831938
434	0.340321801
435	0.3398239896
436	0.3394584533
437	0.3390539463
438	0.3386490169
439	0.3382511797
440	0.3378664792
441	0.3374716335
442	0.3370021797
443	0.3366769135
444	0.3363561844
445	0.3360765187
446	0.3356780284
447	0.3353135931
448	0.3348379064
449	0.3343069948
450	0.3340260289
451	0.3335937649
452	0.3332253537
453	0.3327912909
454	0.3323967108
455	0.332029744
456	0.331660206
457	0.3313428361
458	0.3308223276
459	0.3302614696
460	0.3299434903
461	0.3295576967
462	0.3292274679
463	0.3289438398
464	0.3286975291
465	0.3285020546
466	0.3281252127
467	0.3276910492
468	0.3273829324
469	0.3269521706
470	0.326607655
471	0.3263412076
472	0.3259308021
473	0.3253669606
474	0.3250338158
475	0.3247489967
476	0.3244315874
477	0.3241533894
478	0.3235333227
479	0.3232004394
480	0.32276827
481	0.3224039041
482	0.3220016475
483	0.3216779448
484	0.3213588161
485	0.320995783
486	0.3206800992
487	0.3202101815
488	0.3197358716
489	0.3194120632
490	0.3191314353
491	0.3186282187
492	0.3183132266
493	0.3180023233
494	0.3176534973
495	0.3173196644
496	0.3169820752
497	0.316664273
498	0.3164038505
499	0.3158805747
500	0.3154633612
501	0.3151268845
502	0.3148134901
503	0.3144882993
504	0.3142656077
505	0.3139560603
506	0.3136109174
507	0.3132247776
508	0.3129655385
509	0.3126588687
510	0.3123824211
511	0.3121566396
512	0.3118663603
513	0.3116275381
514	0.3113264881
515	0.3110407792
516	0.3107126451
517	0.310410225
518	0.3101303784
519	0.3098324199
520	0.3091981441
521	0.3088609843
522	0.3085811054
523	0.3080767523
524	0.3076677391
525	0.307292766
526	0.3069467677
527	0.3065677608
528	0.3062752014
529	0.3059691948
530	0.3056286181
531	0.3052257594
532	0.3047385404
533	0.3044801758
534	0.3042026237
535	0.3039209328
536	0.3036264054
537	0.3033975293
538	0.3031324453
539	0.3028156291
540	0.3025423565
541	0.3021787424
542	0.3019472131
543	0.3017169277
544	0.3013545021
545	0.3011217199
546	0.3008372844
547	0.3005691262
548	0.3002706215
549	0.2999972816
550	0.2997067418
551	0.2992771394
552	0.2988450016
553	0.2984880994
554	0.2979528632
555	0.2976535939
556	0.2974285483
557	0.2971173056
558	0.2967835952
559	0.2965429347
560	0.2961582866
561	0.2959338657
562	0.2956614914
563	0.2953757934
564	0.2951607174
565	0.2949688312
566	0.2947357211
567	0.2942685048
568	0.294008829
569	0.2936906453
570	0.2934629187
571	0.2932453826
572	0.2929700819
573	0.2927523513
574	0.2924643267
575	0.2921401494
576	0.2919267169
577	0.2917225242
578	0.291362224
579	0.2911617911
580	0.2908384312
581	0.2906264387
582	0.2903224845
583	0.2901144051
584	0.2899194729
585	0.2896557137
586	0.2893069597
587	0.289122547
588	0.28879325
589	0.2885331683
590	0.2882299702
591	0.2879884708
592	0.2877572691
593	0.2875059661
594	0.2873140894
595	0.2870070413
596	0.2867402279
597	0.2865035652
598	0.2861902882
599	0.285923536
600	0.2857410577
601	0.285528956
602	0.2851648646
603	0.2849057039
604	0.2847390268
605	0.2843418631
606	0.2840870974
607	0.2838770157
608	0.2835430637
609	0.2833659351
610	0.2829006202
611	0.2825602116
612	0.2823662464
613	0.2821909909
614	0.2820289501
615	0.2818221029
616	0.2814737189
617	0.2812470001
618	0.2810410368
619	0.2808364117
620	0.2806471881
621	0.2804731494
622	0.2802115416
623	0.2799361497
624	0.2797739601
625	0.2795026237
626	0.2793177023
627	0.2790776819
628	0.2788938737
629	0.2787066388
630	0.278508527
631	0.2781596505
632	0.2779571086
633	0.277790605
634	0.2775676846
635	0.2772426268
636	0.2770694606
637	0.2768015819
638	0.2765201244
639	0.2763461791
640	0.276062841
641	0.2758408754
642	0.2755299015
643	0.2752958785
644	0.2749203641
645	0.2746815437
646	0.2744670518
647	0.2743198328
648	0.2741979591
649	0.2740311533
650	0.2737042149
651	0.2734980904
652	0.2733341025
653	0.27305672
654	0.2728394861
655	0.2726891235
656	0.2725262144
657	0.2722310222
658	0.2720434078
659	0.2718860611
660	0.2716787944
661	0.2714724961
662	0.2710575736
663	0.2708949571
664	0.270741858
665	0.2705319516
666	0.2702827285
667	0.2699709575
668	0.2698140871
669	0.2696404684
670	0.2694814317
671	0.2692447986
672	0.2691166486
673	0.2689546833
674	0.2688328162
675	0.2686443788
676	0.2683992465
677	0.2682651356
678	0.2677861589
679	0.2676307879
680	0.2674657916
681	0.2673213358
682	0.267172341
683	0.2668621481
684	0.2666200378
685	0.2664547294
686	0.2662631957
687	0.2661314654
688	0.2659265836
689	0.2655711102
690	0.2654499878
691	0.2652879381
692	0.2651314723
693	0.2649646701
694	0.2647636434
695	0.2646299585
696	0.2644150189
697	0.264276007
698	0.2639930675
699	0.263849915
700	0.2637028276
701	0.2635610437
702	0.2633750649
703	0.2631037131
704	0.2629450802
705	0.2626413988
706	0.2624232086
707	0.2621556243
708	0.2619332319
709	0.2617281765
710	0.2615484798
711	0.2613000859
712	0.2611786863
713	0.2610670844
714	0.2609122118
715	0.2606971358
716	0.2605575052
717	0.2603562154
718	0.260211369
719	0.2600426836
720	0.2599120619
721	0.2597668893
722	0.2595637275
723	0.2593923155
724	0.2592738954
725	0.2591323901
726	0.258950128
727	0.2587958423
728	0.2586952152
729	0.2585507033
730	0.258382778
731	0.2582179314
732	0.2578492811
733	0.2576561449
734	0.2575346145
735	0.2574098147
736	0.257277513
737	0.2570213552
738	0.2568884395
739	0.2567437902
740	0.2566240703
741	0.2564959632
742	0.2562385563
743	0.2560829597
744	0.2559648583
745	0.2558647493
746	0.2557527963
747	0.2556208584
748	0.2554982402
749	0.2553845506
750	0.2551675981
751	0.2547505635
752	0.2545302733
753	0.2543396545
754	0.2541993434
755	0.2540855487
756	0.2539199223
757	0.2538130548
758	0.2536725532
759	0.2535372594
760	0.2533277429
761	0.2531587141
762	0.2530665526
763	0.2529275634
764	0.2527603202
765	0.2526582334
766	0.2525471528
767	0.2524335358
768	0.2522778467
769	0.2521589179
770	0.2520444943
771	0.2519281655
772	0.2518012184
773	0.2513615182
774	0.2512359283
775	0.2510966353
776	0.2509904324
777	0.2508822637
778	0.2504889919
779	0.2503974458
780	0.2503043932
781	0.2502085501
782	0.2501120583
783	0.2496662077
784	0.2494388928
785	0.2492193355
786	0.24911059
787	0.2489609666
788	0.2488163776
789	0.2486173867
790	0.2484816401
791	0.2482260582
792	0.2479044024
793	0.2477661789
794	0.2476201247
795	0.2474940824
796	0.2473976631
797	0.2472716088
798	0.2469638684
799	0.246865823
800	0.2467071178
801	0.2466176298
802	0.2465136166
803	0.2463948344
804	0.2461017696
805	0.2459019399
806	0.2458187089
807	0.245538423
808	0.2453783419
809	0.2452385464
810	0.2450892674
811	0.2449091211
812	0.2447889914
813	0.2446507592
814	0.2445542067
815	0.2444541854
816	0.244329395
817	0.2442294128
818	0.244116079
819	0.2439842985
820	0.2438842387
821	0.2438156881
822	0.2437158053
823	0.2435871034
824	0.2434518208
825	0.243359604
826	0.2432149233
827	0.2431385847
828	0.2430442286
829	0.2429366273
830	0.2428429238
831	0.2425137303
832	0.2423918795
833	0.2422517624
834	0.2419911963
835	0.2419150459
836	0.2417680172
837	0.2416667825
838	0.24156969
839	0.2414695117
840	0.2412588778
841	0.2411231261
842	0.2410479679
843	0.2408915105
844	0.2405218556
845	0.2403886011
846	0.2402645571
847	0.2401770771
848	0.2400710638
849	0.2399572669
850	0.2398695489
851	0.2397802851
852	0.2396887568
853	0.2395719231
854	0.2394893793
855	0.2393950045
856	0.2391510644
857	0.2390354483
858	0.2389097461
859	0.2388188672
860	0.2387324491
861	0.2386703987
862	0.238537134
863	0.2383689477
864	0.2381265603
865	0.2378296638
866	0.2377100415
867	0.237606357
868	0.2373221459
869	0.2371952329
870	0.2371218518
871	0.2370265349
872	0.2369254616
873	0.2368341556
874	0.2367578548
875	0.2366560311
876	0.2365031348
877	0.2364156459
878	0.236335778
879	0.2361855891
880	0.2360852554
881	0.2360040867
882	0.2359489895
883	0.235863698
884	0.2357936126
885	0.2356624576
886	0.2355462832
887	0.2353147884
888	0.2352232275
889	0.2350770643
890	0.2349710725
891	0.2349122396
892	0.2348259863
893	0.2347343314
894	0.2346409591
895	0.2345586908
896	0.2343756005
897	0.2342606575
898	0.2341491575
899	0.2339307204
900	0.2338324429
901	0.2337339829
902	0.2334951238
903	0.233366255
904	0.2330219942
905	0.2329658848
906	0.2329108298
907	0.2327801846
908	0.2327020094
909	0.2326083603
910	0.2324436785
911	0.2323601222
912	0.2322537528
913	0.2321887807
914	0.2321175149
915	0.2319763461
916	0.231836493
917	0.2317589992
918	0.2316768874
919	0.2315483369
920	0.2314783607
921	0.2313889823
922	0.2312378423
923	0.2310593075
924	0.2308227728
925	0.2307233445
926	0.2306423987
927	0.2305588757
928	0.2304775888
929	0.230389076
930	0.2303239399
931	0.2301324163
932	0.2300692439
933	0.2299898584
934	0.2299022461
935	0.2297791226
936	0.2294575138
937	0.2293816773
938	0.22930477
939	0.2291823506
940	0.2290550811
941	0.2289913575
942	0.2289276869
943	0.2288375841
944	0.2287267947
945	0.2286063822
946	0.2285072307
947	0.2284311581
948	0.228184887
949	0.2281165626
950	0.2278794726
951	0.2277991355
952	0.2276426987
953	0.2275251393
954	0.2274395286
955	0.2273324878
956	0.2272260813
957	0.2271408747
958	0.2270790291
959	0.2269979951
960	0.2269097587
961	0.2267502953
962	0.2266767739
963	0.2265924754
964	0.2265062426
965	0.2264513542
966	0.2263717624
967	0.2262585407
968	0.2260684959
969	0.2258237118
970	0.2256766194
971	0.2256015288
972	0.2253646012
973	0.2251333268
974	0.2250531663
975	0.2249536778
976	0.2247692868
977	0.2246418324
978	0.2245008142
979	0.22435226
980	0.2241661246
981	0.2240742029
982	0.2240151524
983	0.2239183326
984	0.2238552036
985	0.2237606704
986	0.22369109
987	0.2235935923
988	0.223457904
989	0.2233847847
990	0.223326947
991	0.2232532847
992	0.2231848645
993	0.2230829073
994	0.2230166059
995	0.2228986619
996	0.2228318247
997	0.2227207278
998	0.2226424203
999	0.222542915
1000	0.2224507553
1001	0.222361169
1002	0.2222675118
1003	0.2221909373
1004	0.2220775895
1005	0.2219699423
1006	0.2218955337
1007	0.2217815815
1008	0.2216955345
1009	0.2216215386
1010	0.2215626673
1011	0.2214728282
1012	0.2213823722
1013	0.2212251908
1014	0.221136788
1015	0.2210807666
1016	0.2209291003
1017	0.2208614027
1018	0.220749709
1019	0.2206830488
1020	0.2206199675
1021	0.2205360363
1022	0.2204400076
1023	0.2203285904
1024	0.2202388961
1025	0.2200279328
1026	0.2199505727
1027	0.2198951553
1028	0.2197723619
1029	0.219699535
1030	0.2196191421
1031	0.219420586
1032	0.2193573045
1033	0.2192586516
1034	0.2190636682
1035	0.2189752544
1036	0.2189105056
1037	0.2188388821
1038	0.2187664229
1039	0.2186725651
1040	0.2185549945
1041	0.2184747355
1042	0.2183691178
1043	0.2182986948
1044	0.2182071414
1045	0.2181400793
1046	0.2180901604
1047	0.2179831043
1048	0.2179170195
1049	0.2178082696
1050	0.2177211093
1051	0.2175829253
1052	0.2175202892
1053	0.2174104614
1054	0.2173225453
1055	0.2171727148
1056	0.2171055008
1057	0.2170121642
1058	0.2169435736
1059	0.2167926762
1060	0.216725263
1061	0.2165403664
1062	0.2164896472
1063	0.2163965715
1064	0.2163158998
1065	0.2162508224
1066	0.2161841292
1067	0.216124838
1068	0.2160656371
1069	0.2159553406
1070	0.2158806846
1071	0.215845737
1072	0.2157703601
1073	0.2156692834
1074	0.2155647161
1075	0.2153834542
1076	0.2153007156
1077	0.2152481918
1078	0.215195217
1079	0.2150713041
1080	0.2150080349
1081	0.2149183785
1082	0.2147464103
1083	0.2146794956
1084	0.2145936791
1085	0.2145079634
1086	0.2144097188
1087	0.2143020905
1088	0.2142061279
1089	0.2141328165
1090	0.2140828722
1091	0.2139982909
1092	0.213860495
1093	0.2138025065
1094	0.2137507576
1095	0.2136931632
1096	0.2136282209
1097	0.2135676349
1098	0.2135352418
1099	0.2134524098
1100	0.2133911947
1101	0.2132871426
1102	0.2132091105
1103	0.2131252794
1104	0.2129440278
1105	0.2128035467
1106	0.2127482035
1107	0.2126850551
1108	0.2125943726
1109	0.2124962434
1110	0.212432347
1111	0.2122972905
1112	0.2121886085
1113	0.2121081923
1114	0.2120497993
1115	0.2119505436
1116	0.2118532593
1117	0.2117905898
1118	0.2116953466
1119	0.2115438039
1120	0.2114524832
1121	0.2113756839
1122	0.2113087028
1123	0.2112566621
1124	0.2111920706
1125	0.2111337869
1126	0.2110391216
1127	0.2109158892
1128	0.2108156635
1129	0.2107332855
1130	0.210643841
1131	0.2105807609
1132	0.2105186052
1133	0.2104540768
1134	0.2103822825
1135	0.2103271258
1136	0.2102001515
1137	0.2101403094
1138	0.2100163659
1139	0.2099826527
1140	0.2098939184
1141	0.209844166
1142	0.2097666218
1143	0.209699318
1144	0.2096461194
1145	0.2095901415
1146	0.2094974949
1147	0.2093973754
1148	0.20936816
1149	0.2092976128
1150	0.2092513585
1151	0.2091395337
1152	0.2090732161
1153	0.2089960317
1154	0.2089277415
1155	0.2088317544
1156	0.2087793633
1157	0.2086953798
1158	0.2086061209
1159	0.2085384309
1160	0.2084757928
1161	0.2084105306
1162	0.2083635327
1163	0.2082881163
1164	0.2080561105
1165	0.2079983727
1166	0.2078683281
1167	0.2078107323
1168	0.2077176306
1169	0.2076460779
1170	0.2075047049
1171	0.2074315731
1172	0.2073619245
1173	0.2073169774
1174	0.2072445764
1175	0.2071833909
1176	0.2071165217
1177	0.2070330453
1178	0.2069864263
1179	0.2068946367
1180	0.2068412537
1181	0.2068142142
1182	0.2067538192
1183	0.206672592
1184	0.2066155587
1185	0.2065019194
1186	0.206455535
1187	0.2063303271
1188	0.2062562826
1189	0.2061771905
1190	0.2061230128
1191	0.2060196303
1192	0.2059678871
1193	0.2059200344
1194	0.2058643222
1195	0.2057497238
1196	0.2056898551
1197	0.2056262042
1198	0.2055863333
1199	0.2055253546
1200	0.2054751758
1201	0.2054198373
1202	0.205341494
1203	0.2052386922
1204	0.2051662411
1205	0.2050881082
1206	0.2050067424
1207	0.2049585713
1208	0.2049000915
1209	0.2048565732
1210	0.2048193961
1211	0.2047888432
1212	0.204698523
1213	0.20464912
1214	0.2045973661
1215	0.2044525716
1216	0.2043908852
1217	0.2042905839
1218	0.2042372035
1219	0.2041599918
1220	0.2040710929
1221	0.2039971182
1222	0.2038593235
1223	0.2038165889
1224	0.2037430578
1225	0.2036580188
1226	0.2036034051
1227	0.2034961177
1228	0.2034645963
1229	0.2033884858
1230	0.2033468653
1231	0.2032908253
1232	0.2032220699
1233	0.2031672843
1234	0.2030906062
1235	0.2030129576
1236	0.2029413502
1237	0.2028598294
1238	0.2027434844
1239	0.2026940492
1240	0.2025958396
1241	0.2025459338
1242	0.2024640472
1243	0.2024161322
1244	0.2023234183
1245	0.2022472598
1246	0.2021882204
