iter	RMSE
0	1.275787925
1	1.266969095
2	1.258661093
3	1.250686762
4	1.242236659
5	1.233957357
6	1.225858924
7	1.217556719
8	1.209707467
9	1.201762855
10	1.193781765
11	1.18649932
12	1.17874266
13	1.171779933
14	1.164657575
15	1.157367537
16	1.150248503
17	1.143145944
18	1.135745769
19	1.128895168
20	1.121964853
21	1.114960254
22	1.10802003
23	1.10129847
24	1.094844817
25	1.088423028
26	1.082157872
27	1.075473416
28	1.069109037
29	1.063155749
30	1.057026825
31	1.050813067
32	1.044939999
33	1.039013961
34	1.033044435
35	1.027266276
36	1.021835764
37	1.016140326
38	1.010832557
39	1.005029024
40	0.9998695214
41	0.9945138751
42	0.9889262835
43	0.9841378266
44	0.9789052889
45	0.9744331218
46	0.9695369182
47	0.9644804847
48	0.9594849046
49	0.9542745517
50	0.9493226648
51	0.9446954065
52	0.9402041299
53	0.9357033701
54	0.9315891122
55	0.9270371194
56	0.9224371695
57	0.9178590351
58	0.9136896274
59	0.9094879116
60	0.9052798974
61	0.9013067593
62	0.8968450094
63	0.8930151761
64	0.8891333104
65	0.8854943754
66	0.8816351574
67	0.8775200356
68	0.8739504195
69	0.8701539477
70	0.866393522
71	0.8625374112
72	0.8587001254
73	0.8549829904
74	0.8516239611
75	0.8483926746
76	0.8445209522
77	0.8407452277
78	0.8370913647
79	0.8337297895
80	0.8301685018
81	0.8269749932
82	0.8234252005
83	0.8204725184
84	0.8175283984
85	0.8144714166
86	0.8113269598
87	0.8081536998
88	0.805149869
89	0.8020519448
90	0.7992813703
91	0.796460789
92	0.7934115261
93	0.7907485023
94	0.7882035521
95	0.7854904762
96	0.7826587442
97	0.7799299316
98	0.7774017927
99	0.7746267046
100	0.7718362588
101	0.769150108
102	0.7666579012
103	0.7639483084
104	0.761506508
105	0.7588174851
106	0.7562659171
107	0.7539128157
108	0.7514953518
109	0.7491021487
110	0.7468135571
111	0.7445566784
112	0.7421914278
113	0.7400597401
114	0.7376476638
115	0.7354421445
116	0.733158616
117	0.7311673825
118	0.7292056359
