iter	Passed	Remaining
0	11	3273
1	18	2656
2	25	2436
3	32	2312
4	38	2207
5	44	2136
6	51	2084
7	57	2037
8	63	2004
9	69	1966
10	74	1921
11	80	1883
12	86	1852
13	92	1834
14	97	1803
15	102	1779
16	107	1749
17	112	1721
18	117	1697
19	123	1679
20	128	1658
21	133	1647
22	138	1627
23	143	1608
24	148	1593
25	153	1576
26	158	1562
27	163	1546
28	170	1550
29	176	1547
30	181	1534
31	186	1519
32	191	1506
33	196	1493
34	201	1483
35	206	1472
36	211	1461
37	216	1450
38	221	1439
39	225	1429
40	230	1419
41	235	1410
42	240	1400
43	245	1392
44	250	1382
45	255	1374
46	260	1365
47	265	1357
48	270	1349
49	275	1340
50	280	1332
51	285	1324
52	290	1317
53	295	1309
54	300	1302
55	306	1295
56	311	1288
57	316	1281
58	321	1273
59	326	1266
60	331	1259
61	336	1252
62	341	1245
63	346	1238
64	351	1231
65	356	1224
66	361	1217
67	366	1211
68	371	1204
69	376	1198
70	381	1192
71	386	1185
72	391	1179
73	396	1172
74	401	1166
75	406	1159
76	411	1152
77	415	1146
78	421	1140
79	425	1134
80	430	1127
81	436	1121
82	441	1115
83	446	1109
84	451	1104
85	456	1097
86	461	1091
87	466	1085
88	471	1079
89	476	1074
90	481	1068
91	486	1062
92	491	1056
93	496	1050
94	501	1045
95	506	1039
96	511	1033
97	516	1027
98	521	1021
99	526	1015
100	531	1009
101	536	1004
102	541	998
103	546	992
104	550	986
105	555	980
106	561	975
107	566	969
108	571	964
109	576	958
110	580	952
111	585	946
112	590	941
113	595	935
114	600	929
115	605	924
116	610	918
117	615	912
118	620	907
119	625	901
120	630	896
121	635	890
122	640	885
123	645	879
124	650	873
125	655	868
126	660	863
127	665	857
128	670	852
129	675	846
130	680	841
131	685	836
132	691	831
133	696	826
134	701	820
135	706	815
136	711	809
137	716	804
138	721	799
139	726	793
140	731	788
141	736	782
142	741	777
143	746	772
144	751	766
145	756	761
146	762	757
147	767	752
148	772	746
149	777	741
150	782	736
151	787	730
152	792	725
153	797	720
154	802	714
155	807	709
156	812	704
157	817	698
158	822	693
159	827	688
160	832	682
161	837	677
162	842	672
163	847	666
164	852	661
165	857	656
166	862	650
167	867	645
168	872	640
169	877	635
170	882	629
171	884	622
172	889	616
173	895	612
174	900	607
175	905	602
176	910	596
177	915	591
178	920	586
179	925	580
180	930	575
181	935	570
182	940	565
183	945	560
184	950	554
185	955	549
186	960	544
187	965	539
188	970	533
189	975	528
190	980	523
191	985	518
192	990	513
193	995	507
194	1000	502
195	1004	497
196	1005	490
197	1011	485
198	1016	480
199	1021	474
200	1026	469
201	1030	464
202	1035	459
203	1040	454
204	1046	449
205	1051	443
206	1056	438
207	1061	433
208	1066	428
209	1071	423
210	1076	418
211	1081	413
212	1086	408
213	1091	402
214	1096	397
215	1097	391
216	1102	386
217	1103	379
218	1109	374
219	1114	369
220	1119	364
221	1124	359
222	1129	354
223	1134	349
224	1138	344
225	1143	339
226	1148	334
227	1154	329
228	1159	323
229	1164	318
230	1168	313
231	1173	308
232	1178	303
233	1183	298
234	1189	293
235	1195	288
236	1200	283
237	1205	278
238	1210	273
239	1215	268
240	1220	263
241	1225	258
242	1230	253
243	1235	248
244	1240	242
245	1245	237
246	1250	232
247	1255	227
248	1260	222
249	1265	217
250	1270	212
251	1275	207
252	1280	202
253	1285	197
254	1290	192
255	1295	187
256	1300	182
257	1305	177
258	1310	172
259	1315	166
260	1320	161
261	1325	156
262	1330	151
263	1335	146
264	1340	141
265	1345	136
266	1350	131
267	1355	126
268	1360	121
269	1365	116
270	1370	111
271	1375	106
272	1380	101
273	1385	96
274	1390	91
275	1395	85
276	1400	80
277	1405	75
278	1410	70
279	1412	65
280	1417	60
281	1424	55
282	1429	50
283	1434	45
284	1439	40
285	1444	35
286	1449	30
287	1454	25
288	1459	20
289	1464	15
290	1469	10
291	1474	5
292	1479	0
