iter	RMSE
0	1.414335762
1	1.403508341
2	1.393112057
3	1.382976033
4	1.37316912
5	1.363450906
6	1.354370707
7	1.345964589
8	1.337461431
9	1.329276543
10	1.321088491
11	1.313507608
12	1.306084114
13	1.29898726
14	1.292013657
15	1.285407349
16	1.279155224
17	1.27282935
18	1.266804382
19	1.261040861
20	1.255291692
21	1.249857975
22	1.244488749
23	1.239703661
24	1.234623429
25	1.229913802
26	1.225178147
27	1.220734765
28	1.216195833
29	1.211952933
30	1.207999217
31	1.204303743
32	1.200376785
33	1.196600456
34	1.193018157
35	1.189593508
36	1.186305689
37	1.182922465
38	1.179841192
39	1.176876268
40	1.17377596
41	1.171010698
42	1.16841808
43	1.165455915
44	1.162965636
45	1.16043347
46	1.158035125
47	1.155831587
48	1.153240371
49	1.151052317
50	1.148880688
51	1.146512083
52	1.144633261
53	1.142518993
54	1.140552495
55	1.138802821
56	1.136743443
57	1.134968455
58	1.133292969
59	1.131466076
60	1.129955694
61	1.128321599
62	1.126851132
63	1.125435259
64	1.123923347
65	1.122382971
66	1.121022892
67	1.119622861
68	1.118143516
69	1.116819059
70	1.115653639
71	1.114309714
72	1.112997758
73	1.111954315
74	1.110722855
75	1.109589426
76	1.108601714
77	1.107514838
78	1.106482096
79	1.105411035
80	1.104442984
81	1.103551968
82	1.102492187
83	1.101550035
84	1.100589071
85	1.099703695
86	1.098920171
87	1.098090468
88	1.097326519
89	1.096553884
90	1.095818163
91	1.095049463
92	1.094339845
93	1.093658856
94	1.093007459
95	1.092162717
96	1.091455348
97	1.090610739
98	1.08984508
99	1.089281866
100	1.088627052
101	1.088065162
102	1.087515989
103	1.086979814
104	1.086418488
105	1.085911129
106	1.085189213
107	1.084690894
108	1.084120534
109	1.083668913
110	1.083217982
111	1.082723738
112	1.082242182
113	1.081569882
114	1.08110778
115	1.080694177
116	1.080292395
117	1.079864012
118	1.079434587
119	1.079022328
120	1.07862229
121	1.078276177
122	1.077924279
123	1.077542425
124	1.077205526
125	1.076654152
126	1.076296389
127	1.075840033
128	1.075490296
129	1.075010888
130	1.074641885
131	1.074213392
132	1.073661258
133	1.073361026
134	1.073053053
135	1.072755863
136	1.072489663
137	1.072217764
138	1.071717335
139	1.071330481
140	1.071072367
141	1.070611733
142	1.07036811
143	1.069895078
144	1.069633737
145	1.069391652
146	1.06895242
147	1.068679329
148	1.068406019
149	1.068085413
150	1.067790471
151	1.067561705
152	1.067338194
153	1.067082398
154	1.066842851
155	1.066617722
156	1.066223528
157	1.065912694
158	1.065629213
159	1.065464735
160	1.065197928
161	1.065000215
162	1.064814284
163	1.064493443
164	1.064273984
165	1.064088056
166	1.063865524
167	1.063648109
168	1.063384176
169	1.063209961
170	1.062836906
171	1.062594717
172	1.062386357
173	1.062074875
174	1.061892508
175	1.061685053
176	1.061510849
177	1.06132062
178	1.061087089
179	1.06090917
180	1.060749562
181	1.060500326
182	1.060362601
183	1.060167062
184	1.059934901
185	1.059726955
186	1.059559976
187	1.059215308
188	1.05903294
189	1.05885498
190	1.058520185
191	1.058366507
192	1.058159463
