iter	Passed	Remaining
0	3	8147
1	5	7406
2	7	6311
3	10	6392
4	11	6022
5	13	5713
6	15	5431
7	16	5196
8	17	5007
9	19	4862
10	20	4753
11	23	4837
12	24	4738
13	25	4655
14	27	4597
15	28	4541
16	30	4487
17	31	4446
18	33	4395
19	34	4351
20	36	4317
21	37	4280
22	38	4246
23	40	4221
24	41	4190
25	43	4160
26	44	4132
27	45	4109
28	47	4097
29	48	4085
30	50	4064
31	51	4046
32	53	4033
33	54	4015
34	55	3999
35	57	3986
36	58	3975
37	60	3961
38	61	3952
39	63	3940
40	64	3927
41	65	3913
42	67	3899
43	68	3889
44	70	3879
45	71	3869
46	72	3860
47	74	3852
48	75	3841
49	77	3834
50	78	3828
51	79	3818
52	81	3809
53	82	3800
54	84	3790
55	85	3780
56	87	3799
57	88	3795
58	90	3790
59	91	3785
60	93	3776
61	94	3769
62	96	3767
63	97	3760
64	98	3756
65	100	3751
66	101	3742
67	102	3734
68	104	3727
69	105	3721
70	107	3732
71	108	3724
72	110	3716
73	111	3709
74	112	3700
75	114	3698
76	115	3692
77	117	3689
78	118	3684
79	119	3679
80	121	3676
81	122	3671
82	124	3664
83	125	3658
84	126	3652
85	128	3649
86	129	3649
87	131	3648
88	132	3643
89	133	3639
90	135	3633
91	136	3632
92	138	3629
93	139	3626
94	141	3624
95	142	3619
96	143	3614
97	145	3609
98	146	3605
99	147	3601
100	149	3597
101	150	3592
102	151	3587
103	153	3585
104	154	3582
105	156	3579
106	157	3575
107	158	3572
108	160	3567
109	161	3564
110	163	3562
111	164	3559
112	165	3557
113	167	3554
114	168	3553
115	170	3550
116	171	3549
117	173	3549
118	174	3545
119	176	3556
120	178	3554
121	179	3550
122	181	3549
123	182	3547
124	183	3545
125	185	3543
126	186	3541
127	188	3536
128	189	3535
129	190	3532
130	192	3531
131	193	3529
132	195	3527
133	197	3537
134	198	3535
135	200	3533
136	201	3529
137	203	3528
138	204	3525
139	205	3522
140	207	3520
141	208	3516
142	210	3513
143	211	3510
144	212	3509
145	214	3507
146	215	3506
147	217	3505
148	218	3503
149	220	3502
150	221	3501
151	223	3500
152	224	3498
153	226	3497
154	227	3495
155	229	3493
156	230	3491
157	232	3490
158	233	3489
159	234	3487
160	236	3485
161	237	3481
162	239	3480
163	240	3477
164	242	3477
165	243	3474
166	244	3473
167	246	3470
168	247	3468
169	249	3466
170	250	3465
171	252	3463
172	253	3462
173	255	3461
174	257	3468
175	258	3466
176	260	3464
177	261	3461
178	262	3459
179	264	3456
180	265	3455
181	267	3452
182	268	3450
183	270	3450
184	271	3448
185	272	3444
186	274	3443
187	275	3440
188	277	3447
189	279	3445
190	280	3444
191	282	3442
192	283	3441
193	285	3439
194	286	3437
195	287	3435
196	289	3433
197	290	3432
198	292	3430
199	293	3428
200	295	3427
201	296	3426
202	298	3423
203	299	3420
204	300	3418
205	302	3415
206	303	3412
207	304	3410
208	307	3417
209	308	3415
210	309	3412
211	311	3418
212	313	3416
213	314	3415
214	316	3414
215	317	3413
216	319	3411
217	320	3410
218	322	3408
219	323	3406
220	325	3405
221	326	3403
222	328	3401
223	329	3400
224	330	3398
