iter	Passed	Remaining
0	5	2767
1	9	2294
2	12	2112
3	16	2019
4	19	1963
5	22	1918
6	26	1885
7	29	1862
8	33	1841
9	36	1821
10	39	1799
11	43	1789
12	46	1781
13	50	1773
14	53	1765
15	57	1758
16	60	1751
17	64	1745
18	67	1739
19	71	1734
20	74	1730
21	77	1721
22	81	1715
23	84	1712
24	88	1707
25	91	1702
26	95	1698
27	98	1692
28	102	1691
29	106	1693
30	109	1689
31	113	1685
32	116	1681
33	120	1677
34	123	1673
35	127	1670
36	130	1666
37	134	1661
38	137	1657
39	141	1653
40	144	1649
41	148	1647
42	152	1644
43	155	1642
44	159	1639
45	163	1637
46	166	1633
47	170	1629
48	173	1626
49	177	1622
50	180	1618
51	184	1614
52	187	1610
53	191	1607
54	194	1601
55	197	1597
56	199	1577
57	202	1572
58	206	1570
59	209	1567
60	213	1564
61	217	1561
62	220	1559
63	224	1554
64	227	1551
65	231	1548
66	234	1543
67	238	1540
68	241	1536
69	244	1532
70	248	1527
71	251	1524
72	255	1521
73	258	1518
74	262	1514
75	265	1511
76	269	1507
77	272	1503
78	276	1499
79	279	1496
80	283	1492
81	286	1488
82	289	1484
83	293	1481
84	297	1478
85	300	1475
86	304	1472
87	307	1468
88	311	1465
89	314	1460
90	318	1457
91	321	1454
92	325	1450
93	328	1446
94	331	1443
95	335	1439
96	338	1435
97	342	1431
98	345	1427
99	349	1424
100	352	1420
101	355	1416
102	359	1412
103	362	1409
104	366	1406
105	369	1402
106	373	1398
107	376	1394
108	380	1391
109	383	1387
110	386	1384
111	390	1380
112	393	1377
113	397	1373
114	400	1370
115	404	1366
116	407	1363
117	411	1360
118	415	1356
119	418	1353
120	421	1349
121	425	1346
122	428	1342
123	432	1338
124	435	1335
125	439	1331
126	442	1328
127	446	1324
128	449	1320
129	453	1319
130	457	1316
131	461	1313
132	464	1309
133	467	1305
134	471	1302
135	474	1298
136	478	1295
137	481	1292
138	485	1288
139	488	1284
140	492	1281
141	495	1278
142	499	1274
143	502	1270
144	506	1267
145	509	1263
146	513	1260
147	516	1256
148	520	1253
149	523	1249
150	527	1246
151	530	1242
152	534	1239
153	537	1235
154	540	1232
155	544	1228
156	547	1224
157	551	1221
158	554	1217
159	558	1214
160	561	1210
161	565	1207
162	568	1203
163	572	1200
164	575	1197
165	579	1193
166	582	1190
