iter	Passed	Remaining
0	2	1177
1	5	1097
2	7	1052
3	9	1028
4	11	1015
5	13	1006
6	16	998
7	18	996
8	20	991
9	22	983
10	25	978
11	27	978
12	29	978
13	32	976
14	34	971
15	36	968
16	38	964
17	41	962
18	43	961
19	45	959
20	48	957
21	50	955
22	52	951
23	55	949
24	57	945
25	59	943
26	61	939
27	63	937
28	66	935
29	68	933
30	70	931
31	73	929
32	75	926
33	77	924
34	80	922
35	82	920
36	84	917
37	86	915
38	89	913
39	91	910
40	93	907
41	96	906
42	98	904
43	100	901
44	102	899
45	105	897
46	107	895
47	109	893
48	112	891
49	114	888
50	116	884
51	118	882
52	121	880
53	123	877
54	125	875
55	127	872
56	130	870
57	132	868
58	134	865
59	137	863
60	139	861
61	141	858
62	143	856
63	146	853
64	148	852
65	150	850
66	153	848
67	155	845
68	157	843
69	160	841
70	162	839
71	164	837
72	167	836
73	169	834
74	171	832
75	174	830
76	176	828
77	179	827
78	181	825
79	184	823
80	186	821
81	188	819
82	191	817
83	193	815
84	195	813
85	198	812
86	200	810
87	203	808
88	205	806
89	208	804
90	210	802
91	212	800
92	215	798
93	217	796
94	220	794
95	222	792
96	224	790
97	227	788
98	229	786
99	231	784
100	234	782
101	236	779
102	239	777
103	241	775
104	243	773
105	246	771
106	248	769
107	251	767
108	253	765
109	255	763
110	258	760
111	260	758
112	262	756
113	265	754
114	267	751
115	270	749
116	276	759
117	279	756
118	281	754
119	283	752
120	286	749
121	288	747
122	291	745
123	293	742
124	295	740
125	298	737
126	300	735
127	302	733
128	304	730
129	307	728
130	309	725
131	311	722
132	314	720
133	316	717
134	318	715
135	320	712
136	323	710
137	325	707
138	327	705
139	330	702
140	332	700
141	334	697
142	337	695
143	339	693
144	341	690
145	344	688
146	346	685
147	348	683
148	351	681
149	353	678
150	355	676
151	358	673
152	360	671
153	362	669
154	365	666
155	367	664
156	369	661
157	372	659
158	374	657
159	376	654
160	379	652
161	381	650
162	384	647
163	386	645
164	388	643
165	391	640
166	393	638
167	395	636
168	398	633
169	400	631
170	402	629
171	405	626
172	407	624
173	410	622
174	412	619
175	414	617
176	417	615
177	419	613
178	422	610
179	424	608
180	426	606
181	429	603
182	431	601
183	434	599
184	436	597
185	439	594
186	441	592
187	443	590
188	446	587
189	448	585
190	450	583
191	453	580
192	455	578
193	458	576
194	460	573
195	462	571
196	465	569
197	467	566
198	469	564
199	472	562
200	474	559
201	477	557
202	479	554
203	481	552
204	484	550
205	486	547
206	488	545
207	491	543
208	493	540
209	496	538
210	498	536
211	500	533
212	503	531
213	505	529
214	507	526
215	510	524
216	512	522
217	515	519
218	517	517
219	519	515
220	522	512
221	524	510
222	526	508
223	529	505
224	531	503
225	534	500
226	536	498
227	538	496
228	541	493
229	543	491
230	546	489
231	548	486
232	550	484
233	553	482
234	555	479
235	557	477
236	560	475
237	562	472
238	565	470
239	567	468
240	569	465
241	572	463
242	574	460
243	576	458
244	579	456
245	581	453
246	583	451
247	586	449
248	588	446
249	591	444
250	593	442
251	595	439
252	598	437
253	600	435
254	602	432
255	605	430
256	607	427
257	610	425
258	612	423
259	614	420
260	617	418
261	619	416
262	621	413
263	624	411
264	626	409
265	628	406
266	631	404
267	633	401
268	636	399
269	638	397
270	640	394
271	643	392
272	645	390
273	647	387
274	650	385
275	652	383
276	654	380
277	657	378
278	659	375
279	662	373
280	664	371
281	666	368
282	668	366
283	671	364
284	673	361
285	676	359
286	678	356
287	680	354
288	683	352
289	685	349
290	687	347
291	690	345
292	692	342
293	694	340
294	697	337
295	699	335
296	702	333
297	704	331
298	707	328
299	709	326
300	711	324
301	714	321
302	716	319
303	719	316
304	721	314
305	723	312
306	726	309
307	728	307
308	731	305
309	733	302
310	735	300
311	738	298
312	740	295
313	743	293
314	745	291
315	748	288
316	750	286
317	752	284
318	755	281
319	757	279
320	759	276
321	762	274
322	764	272
323	766	269
324	769	267
325	771	265
326	774	262
327	776	260
328	778	258
329	781	255
330	783	253
331	786	250
332	788	248
333	790	246
334	793	243
335	795	241
336	798	239
337	800	236
338	802	234
339	805	232
340	807	229
341	810	227
342	812	225
343	814	222
344	817	220
345	819	217
346	821	215
347	824	213
348	826	210
349	829	208
350	831	206
351	833	203
352	836	201
353	838	199
354	841	196
355	843	194
356	846	191
357	848	189
358	850	187
359	853	184
360	855	182
361	858	180
362	860	177
363	862	175
364	865	173
365	867	170
366	870	168
367	873	166
368	875	163
369	878	161
370	880	159
371	882	156
372	885	154
373	887	151
374	890	149
375	892	147
376	894	144
377	897	142
378	899	140
379	902	137
380	904	135
381	906	132
382	909	130
383	911	128
384	914	125
385	916	123
386	918	121
387	921	118
388	923	116
389	926	113
390	928	111
391	930	109
392	933	106
393	935	104
394	938	102
395	940	99
396	943	97
397	945	95
398	947	92
399	950	90
400	952	87
401	955	85
402	957	83
403	959	80
404	962	78
405	964	76
406	967	73
407	969	71
408	972	68
409	974	66
410	976	64
411	979	61
412	981	59
413	984	57
414	986	54
415	988	52
416	991	49
417	993	47
418	996	45
419	998	42
420	1000	40
421	1003	38
422	1005	35
423	1008	33
424	1010	30
425	1012	28
426	1015	26
427	1017	23
428	1019	21
429	1022	19
430	1024	16
431	1027	14
432	1029	11
433	1031	9
434	1034	7
435	1037	4
436	1039	2
437	1041	0
